Euring;Sortering;Artnavn;Latin;English;Status;Type
02260;10;"Hvidhovedet And";"Oxyura leucocephala";"White-headed Duck";AU;art
02250;20;"Amerikansk Skarveand";"Oxyura jamaicensis";"Ruddy Duck";CU;art
02265;30;"Amerikansk Skarveand x 	
Hvidhovedet And (hybrid)";"Oxyura jamaicensis x O. leucocephala";"Ruddy Duck x White-headed Duck (hybrid)";HU;hybrid
01526;40;"Sorthalset Svane";"Cygnus melancoryphus";"Black-necked Swan";E;art
01520;50;Knopsvane;"Cygnus olor";"Mute Swan";A;art
01525;60;Sortsvane;"Cygnus atratus";"Black Swan";C;art
01530;70;Pibesvane;"Cygnus columbianus";"Tundra Swan";A;art
01540;80;Sangsvane;"Cygnus cygnus";"Whooper Swan";A;art
01539;90;Pibesvane/Sangsvane;"Cygnus columbianus/C. cygnus";"Tundra Swan/Whooper Swan";H;ubestemt
01559;100;"Svane sp.";"Cygnus sp.";"Swan sp.";H;ubestemt
01680;110;Knortegås;"Branta bernicla";"Brant Goose";A;art
01683;120;"Knortegås, Sortbuget (ssp. nigricans)";"Branta bernicla nigricans";"Brant Goose (ssp. nigricans)";AS;underart
01688;130;"Knortegås, Mørkbuget x Sortbuget (hybrid)";"Branta bernicla bernicla x B. b. nigricans";"Brant Goose (bernicla x nigricans)";H;hybrid
01689;140;"Knortegås x Rødhalset Gås (hybrid)";"Branta bernicla x B. ruficollis";"Brant Goose x Red-breasted Goose";H;hybrid
01681;150;"Knortegås, Mørkbuget (ssp. bernicla)";"Branta bernicla bernicla";"Brant Goose (ssp. bernicla)";A;underart
01682;160;"Knortegås, Lysbuget (ssp. hrota)";"Branta bernicla hrota";"Brant Goose (ssp. hrota)";A;underart
01690;170;"Rødhalset Gås";"Branta ruficollis";"Red-breasted Goose";AS;art
01660;180;Canadagås;"Branta canadensis";"Canada Goose";C;art
01664;190;"Canadagås x Bramgås (hybrid)";"Branta canadensis x B. leucopsis";"Canada Goose x Barnacle Goose";H;hybrid
01669;200;"Canadagås x Grågås (hybrid)";"Branta canadensis x Anser anser";"Canada Goose x Greylag Goose";H;hybrid
01670;210;Bramgås;"Branta leucopsis";"Barnacle Goose";A;art
01677;220;"Bramgås x Dværgcanadagås (hybrid)";"Branta leucopsis x B. hutchinsii";"Barnacle Goose x Cackling Goose";H;hybrid
01678;230;"Bramgås x Dværggås (hybrid)";"Branta leucopsis x Anser erythropus";"Barnacle Goose x Lesser White-fronted Goose";H;hybrid
01679;240;"Bramgås x Rødhalset Gås (hybrid)";"Branta leucopsis x B. ruficollis";"Barnacle Goose x Red-breasted Goose";H;hybrid
01665;250;Dværgcanadagås;"Branta hutchinsii";"Cackling Goose";E;art
01699;260;"Rajgås sp.";"Branta sp.";"Goose sp. (branta)";H;ubestemt
01620;270;"Indisk Gås";"Anser indicus";"Bar-headed Goose";C;art
01625;280;"Indisk Gås X Grågås (hybrid)";"Anser indicus x A. anser";"Bar-headed Goose x Greylag Goose (hybrid)";H;hybrid
01626;290;"Indisk Gås X Canadagås (hybrid)";"Anser indicus x Branta canadensis";"Bar-headed Goose x Canada Goose (hybrid)";H;hybrid
01627;300;"Indisk Gås X Bramgås (hybrid)";"Anser indicus x Branta leucopsis";"Bar-headed Goose x Barnacle Goose (hybrid)";H;hybrid
01650;310;Kejsergås;"Anser canagicus";"Emperor Goose";E;art
01645;320;"Dværgsnegås x Bramgås (hybrid)";"Anser rossii x Branta leucopsis";"Ross's Goose x Barnacle Goose";HU;hybrid
01640;330;Dværgsnegås;"Anser rossii";"Ross's Goose";AU;art
01630;340;Snegås;"Anser caerulescens";"Snow Goose";D;art
01639;350;"Snegås x Bramgås (hybrid)";"Anser caerulescens x Branta leucopsis";"Snow Goose x Barnacle Goose";H;hybrid
01610;360;Grågås;"Anser anser";"Greylag Goose";A;art
01615;370;"Grågås x Blisgås (hybrid)";"Anser anser x A. albifrons";"Greylag Goose x Greater White-fronted Goose";H;hybrid
01619;380;"Grågås x Bramgås (hybrid)";"Anser anser x Branta leucopsis";"Greylag Goose x Barnacle Goose";H;hybrid
01560;390;Svanegås;"Anser cygnoides";"Swan Goose";E;art
01569;400;"Svanegås x Grågås (hybrid)";"Anser cygnoides x A. anser";"Swan Goose x Greylag Goose";H;hybrid
01570;410;Tajgasædgås/Tundrasædgås;"Anser fabalis/A. serrirostris";"Taiga Bean Goose/Tundra Bean Goose";H;ubestemt
01600;420;Dværggås;"Anser erythropus";"Lesser White-fronted Goose";AS;art
01590;430;Blisgås;"Anser albifrons";"Greater White-fronted Goose";A;art
01592;440;"Blisgås, Grønlandsk (ssp. flavirostris)";"Anser albifrons flavirostris";"Greater White-fronted Goose (ssp. flavirostris)";AS;underart
01591;450;"Blisgås (ssp. albifrons)";"Anser albifrons albifrons";"Greater White-fronted Goose (ssp. albifrons)";A;underart
01599;460;Blisgås/Dværggås;"Anser albifrons/A. erythropus";"Greater White-fronted Goose/Lesser White-fronted Goose";H;ubestemt
01594;470;"Blisgås x Bramgås (hybrid)";"Anser albifrons x Branta leucopsis";"Greater White-fronted Goose x Barnacle Goose";H;hybrid
01595;480;"Blisgås x Rødhalset Gås (hybrid)";"Anser albifrons x Branta ruficollis";"Greater White-fronted Goose x Red-breasted Goose";H;hybrid
01574;490;Tundrasædgås;"Anser serrirostris";"Tundra Bean Goose";A;art
01580;500;"Kortnæbbet Gås";"Anser brachyrhynchus";"Pink-footed Goose";A;art
01571;510;Tajgasædgås;"Anser fabalis";"Taiga Bean Goose";A;art
01659;520;"Grå Gås sp.";"Anser sp.";"Goose sp. (anser)";H;ubestemt
01709;530;"Gås sp.";"Anser/Branta sp.";"Goose sp.";H;ubestemt
01750;540;Moskusand;"Cairina moschata";"Muscovy Duck";E;art
01780;550;Mandarinand;"Aix galericulata";"Mandarin Duck";C;art
01770;560;Brudeand;"Aix sponsa";"Wood Duck";E;art
01695;570;Magellangås;"Chloephaga picta";"Upland Goose";E;art
01700;580;Nilgås;"Alopochen aegyptiaca";"Egyptian Goose";C;art
01730;590;Gravand;"Tadorna tadorna";"Common Shelduck";A;art
01710;600;Rustand;"Tadorna ferruginea";"Ruddy Shelduck";A;art
01714;610;"Rustand x Gravand (hybrid)";"Tadorna ferruginea x T. tadorna";"Ruddy Shelduck x Common Shelduck";H;hybrid
02120;620;Havlit;"Clangula hyemalis";"Long-tailed Duck";A;art
02090;630;Stellersand;"Polysticta stelleri";"Steller's Eider";AU;art
02070;640;Kongeederfugl;"Somateria spectabilis";"King Eider";AS;art
02060;650;Ederfugl;"Somateria mollissima";"Common Eider";A;art
02063;660;"Ederfugl, Arktisk (ssp. borealis)";"Somateria mollissima borealis";"Common Eider (ssp. borealis)";AU;underart
02078;670;"Kongeederfugl x Ederfugl (hybrid)";"Somateria spectabilis x S. mollissima";"King Eider x Common Eider";H;hybrid
02130;680;Sortand;"Melanitta nigra";"Common Scoter";A;art
02132;690;"Amerikansk Sortand";"Melanitta americana";"Black Scoter";AS;art
02140;700;Brilleand;"Melanitta perspicillata";"Surf Scoter";AS;art
02150;710;Fløjlsand;"Melanitta fusca";"Velvet Scoter";A;art
02153;720;"Amerikansk Fløjlsand";"Melanitta deglandi";"White-winged Scoter";AU;art
02152;730;"Asiatisk Fløjlsand";"Melanitta stejnegeri";"Stejneger's Scoter";AU;art
02151;740;"Amerikansk/Asiatisk Fløjlsand";"Melanitta deglandi/M. stejnegeri";"White-winged Scoter/Stejneger's Scoter";HU;ubestemt
02160;750;Bøffeland;"Bucephala albeola";Bufflehead;DU;art
02180;760;Hvinand;"Bucephala clangula";"Common Goldeneye";A;art
02200;770;"Lille Skallesluger";"Mergellus albellus";Smew;A;art
02189;780;"Hvinand x Lille Skallesluger (hybrid)";"Bucephala clangula x Mergellus albellus";"Common Goldeneye x Smew";H;hybrid
02190;790;Hjelmskallesluger;"Lophodytes cucullatus";"Hooded Merganser";DU;art
02210;800;"Toppet Skallesluger";"Mergus serrator";"Red-breasted Merganser";A;art
02230;810;"Stor Skallesluger";"Mergus merganser";"Common Merganser";A;art
02218;820;"Toppet Skallesluger/Stor Skallesluger";"Mergus serrator/M. merganser";"Red-breasted Merganser/Common Merganser";H;ubestemt
02239;830;"Skallesluger sp.";"Mergus sp.";"Merganser sp.";H;ubestemt
02268;840;"Havdykand sp. (Mergini)";Mergini;"Sea duck sp. (Mergini)";H;ubestemt
02269;850;"Andefugl sp.";Anatidae;"Swan/Goose/Duck sp.";H;ubestemt
01950;860;Marmorand;"Marmaronetta angustirostris";"Marbled Duck";EU;art
01960;870;"Rødhovedet And";"Netta rufina";"Red-crested Pochard";AS;art
01969;880;"Rødhovedet And x Taffeland (hybrid)";"Netta rufina x Aythya ferina";"Red-crested Pochard x Common Pochard";H;hybrid
02020;890;"Hvidøjet And";"Aythya nyroca";"Ferruginous Duck";AS;art
02028;900;"Hvidøjet And x Troldand (hybrid)";"Aythya nyroca x A. fuligula";"Ferruginous Duck x Tufted Duck";H;hybrid
02029;910;"Hvidøjet And x Taffeland (hybrid)";"Aythya nyroca x A. ferina";"Ferruginous Duck x Common Pochard";H;hybrid
