Scientific (Clements),TAGS,AVIBASE,CONS_STATUS
Struthio camelus,UB::Morocco::Rare/Accidental UB::Tunisia::Introduced-species UB::Western-Sahara::Common UB::Mauritania::Common UB::Senegal::Common UB::Mali::Common UB::Nigeria::Common UB::Niger::Common UB::Chad::Common UB::Cameroon::Common UB::Central-African-Republic::Common UB::Sudan::Common UB::South-Sudan::Common UB::Eritrea::Common UB::Ethiopia::Common UB::Djibouti::Common UB::Somalia::Common UB::Kenya::Common UB::Uganda::Common UB::Tanzania::Common UB::Mozambique::Common UB::Namibia::Common UB::Botswana::Common UB::Zimbabwe::Common UB::South-Africa::Common UB::Eswatini::Introduced-species UB::Saudi-Arabia::Introduced-species UB::Oman::Common UB::Qatar::Common UB::Australia::Introduced-species UB::Australia::Australia-(continental-including-Tasmania)::Introduced-species UB::Australia::New-South-Wales::Introduced-species UB::Australia::Queensland::Introduced-species UB::Australia::South-Australia::Introduced-species,https://avibase.bsc-eoc.org/species.jsp?avibaseid=2247CB050A76CF8E,Least concern
Struthio molybdophanes,UB::Ethiopia::Common UB::Djibouti::Common UB::Somalia::Common UB::Kenya::Common,https://avibase.bsc-eoc.org/species.jsp?avibaseid=40329BB6BD7F02F5,Vulnerable
Casuarius casuarius,UB::Indonesia::Common UB::Indonesia::Indonesia-(Asia)::Common UB::Indonesia::Maluku-Islands::Introduced-species UB::Indonesia::Maluku-Province::Introduced-species UB::Indonesia::Indonesia-(Australasia)::Common UB::Indonesia::West-Papua-Province::Common UB::Indonesia::Irian-Jaya::Common UB::Indonesia::Papua-Province::Common UB::Papua-New-Guinea::Common UB::Australia::Common UB::Australia::Australia-(continental-including-Tasmania)::Common UB::Australia::Queensland::Common,https://avibase.bsc-eoc.org/species.jsp?avibaseid=8B9D93D84AC854E7,Least concern
Casuarius bennetti,UB::Indonesia::Common UB::Indonesia::Indonesia-(Asia)::Introduced-species UB::Indonesia::Maluku-Islands::Introduced-species UB::Indonesia::Maluku-Province::Introduced-species UB::Indonesia::Indonesia-(Australasia)::Common UB::Indonesia::West-Papua-Province::Common UB::Indonesia::Irian-Jaya::Common UB::Indonesia::Papua-Province::Common UB::Papua-New-Guinea::Common,https://avibase.bsc-eoc.org/species.jsp?avibaseid=7751E0D145194220,Least concern
Casuarius unappendiculatus,UB::Indonesia::Common UB::Indonesia::Indonesia-(Australasia)::Common UB::Indonesia::West-Papua-Province::Common UB::Indonesia::Irian-Jaya::Common UB::Indonesia::Papua-Province::Common UB::Papua-New-Guinea::Common,https://avibase.bsc-eoc.org/species.jsp?avibaseid=32E7303BCA959B16,Least concern
Dromaius novaehollandiae,UB::Australia::Endemic UB::Australia::Australia-(continental-including-Tasmania)::Endemic UB::Australia::New-South-Wales::Endemic-(country/region) UB::Australia::Australian-Capital-Territory::Common UB::Australia::Australian-Capital-Territory-(excl.-Jervis-Bay)::Introduced-species UB::Australia::Northern-Territory::Endemic-(country/region) UB::Australia::Queensland::Endemic-(country/region) UB::Australia::Torres-Strait-Islands-(AU)::Common UB::Australia::South-Australia::Endemic-(country/region) UB::Australia::Victoria::Endemic-(country/region) UB::Australia::Western-Australia::Endemic-(country/region),https://avibase.bsc-eoc.org/species.jsp?avibaseid=FD2456D503016C33,Least concern
Apteryx australis,UB::New-Zealand::Endemic,https://avibase.bsc-eoc.org/species.jsp?avibaseid=6BA55EF02BE05C02,Vulnerable
Apteryx rowi,UB::New-Zealand::Endemic,https://avibase.bsc-eoc.org/species.jsp?avibaseid=D433BDABDA69DEB8,Vulnerable
Apteryx mantelli,UB::New-Zealand::Endemic,https://avibase.bsc-eoc.org/species.jsp?avibaseid=DB55CB8CC8C20EA5,Vulnerable
Apteryx owenii,UB::New-Zealand::Endemic,https://avibase.bsc-eoc.org/species.jsp?avibaseid=187706CF92320BD8,Near-threatened
Apteryx maxima,UB::New-Zealand::Endemic,https://avibase.bsc-eoc.org/species.jsp?avibaseid=0D8B9E4061FCDF8C,Vulnerable
Rhea americana,UB::Bolivia::Common UB::Brazil::Common UB::Brazil::North-Brazil::Common UB::Brazil::Northeast-Brazil::Common UB::Brazil::Southeast-Brazil::Common UB::Brazil::South-Brazil::Common UB::Brazil::Center-West-Brazil::Common UB::Brazil::Alagoas::Common UB::Brazil::Amazonas::Common UB::Brazil::Bahia::Common UB::Brazil::Federal-District::Common UB::Brazil::Espírito-Santo::Common UB::Brazil::Goiás::Common UB::Brazil::Maranhão::Common UB::Brazil::Mato-Grosso::Common UB::Brazil::Mato-Grosso-do-Sul::Common UB::Brazil::Minas-Gerais::Common UB::Brazil::Pará::Common UB::Brazil::Paraíba::Common UB::Brazil::Paraná::Common UB::Brazil::Pernambuco::Common UB::Brazil::Piauí::Common UB::Brazil::Rio-de-Janeiro::Common UB::Brazil::Rio-Grande-do-Norte::Common UB::Brazil::Rio-Grande-do-Sul::Common UB::Brazil::Rondônia::Common UB::Brazil::Santa-Catarina::Common UB::Brazil::São-Paulo::Common UB::Brazil::Sergipe::Common UB::Brazil::Tocantins::Common UB::Paraguay::Common UB::Uruguay::Common UB::Argentina::Common,https://avibase.bsc-eoc.org/species.jsp?avibaseid=00986B2456382647,Near-threatened
Rhea pennata,UB::Peru::Common UB::Peru::José-Carlos-Mariátegui::Common UB::Peru::Moquegua::Common UB::Peru::Puno::Common UB::Peru::Tacna::Common UB::Peru::Lima-y-Callao::Common UB::Peru::Callao::Common UB::Peru::Los-Libertadores-Wari::Common UB::Peru::Ica::Common UB::Bolivia::Common UB::Chile::Common UB::Argentina::Common,https://avibase.bsc-eoc.org/species.jsp?avibaseid=590ADF928DB63885,Least concern
Tinamotis pentlandii,UB::Peru::Common UB::Peru::Andrés-Avelino-Cáceres::Common UB::Peru::Huánuco::Common UB::Peru::Junín::Common UB::Peru::Pasco::Common UB::Peru::Arequipa::Common UB::Peru::Arequipa::Common UB::Peru::Gran-Chavín::Common UB::Peru::Ancash::Common UB::Peru::Inka::Common UB::Peru::Apurímac::Common UB::Peru::Cusco::Common UB::Peru::José-Carlos-Mariátegui::Common UB::Peru::Moquegua::Common UB::Peru::Puno::Common UB::Peru::Tacna::Common UB::Peru::Lima-y-Callao::Common UB::Peru::Callao::Common UB::Peru::Lima::Common UB::Peru::Lima-Province::Common UB::Peru::Los-Libertadores-Wari::Common UB::Peru::Ayacucho::Common UB::Peru::Huancavelica::Common UB::Peru::Ica::Common UB::Bolivia::Common UB::Chile::Common UB::Argentina::Common,https://avibase.bsc-eoc.org/species.jsp?avibaseid=0A51B426E7437658,Least concern
Tinamotis ingoufi,UB::Chile::Common UB::Argentina::Common,https://avibase.bsc-eoc.org/species.jsp?avibaseid=EC451D911F7D2806,Least concern
Eudromia formosa,UB::Bolivia::Rare/Accidental UB::Paraguay::Common UB::Argentina::Common,https://avibase.bsc-eoc.org/species.jsp?avibaseid=9337459C013CDC46,Least concern
Eudromia elegans,UB::Chile::Common UB::Argentina::Common,https://avibase.bsc-eoc.org/species.jsp?avibaseid=4E215E82CEB25CDE,Least concern
