Scientific (Clements),TAGS,AVIBASE,CONS_STATUS
Struthio camelus,,https://avibase.bsc-eoc.org/species.jsp?avibaseid=2247CB050A76CF8E,Least concern
Struthio molybdophanes,,,
Casuarius casuarius,,,
Casuarius bennetti,,,
Casuarius unappendiculatus,,,
Dromaius novaehollandiae,,,
Apteryx australis,,,
Apteryx rowi,,,
Apteryx mantelli,,,
Apteryx owenii,,,
Apteryx maxima,,,
Rhea americana,,,
Rhea pennata,,,
Tinamotis pentlandii,,,
Tinamotis ingoufi,,,
Eudromia formosa,,,
Eudromia elegans,,,
Taoniscus nanus,,,
Nothura boraquira,,,
Nothura minor,,,
Nothura darwinii,,,
Nothura maculosa,,,
Rhynchotus maculicollis,,,
Rhynchotus rufescens,,,
Nothoprocta cinerascens,,,
Nothoprocta pentlandii,,,
Nothoprocta curvirostris,,,
Nothoprocta ornata,,,
Nothoprocta taczanowskii,,,
Nothoprocta perdicaria,,,
Nothocercus julius,,,
Nothocercus nigrocapillus,,,
Nothocercus bonapartei,,,
Tinamus major,,,
Tinamus solitarius,,,
Tinamus tao,,,
Tinamus guttatus,,,
Tinamus osgoodi,,,
Crypturellus berlepschi,,,
Crypturellus cinereus,,,
Crypturellus ptaritepui,,,
Crypturellus parvirostris,,,
Crypturellus tataupa,,,
Crypturellus obsoletus,,,
Crypturellus variegatus,,,
Crypturellus bartletti,,,
Crypturellus casiquiare,,,
Crypturellus brevirostris,,,
Crypturellus soui,,,
Crypturellus undulatus,,,
Crypturellus noctivagus,,,
Crypturellus atrocapillus,,,
Crypturellus transfasciatus,,,
Crypturellus cinnamomeus,,,
Crypturellus boucardi,,,
Crypturellus kerriae,,,
Crypturellus erythropus,,,
Crypturellus duidae,,,
Crypturellus strigulosus,,,
Anhima cornuta,,,
Chauna torquata,,,
Chauna chavaria,,,
Anseranas semipalmata,,,
Dendrocygna guttata,,,
Dendrocygna eytoni,,,
Dendrocygna viduata,UB::Western-Palearctic::Rare/Accidental ,https://avibase.bsc-eoc.org/species.jsp?avibaseid=A534AFEA126DBD62,Least concern
Dendrocygna autumnalis,,,
Dendrocygna arborea,,,
Dendrocygna bicolor,UB::Western-Palearctic::Common ,https://avibase.bsc-eoc.org/species.jsp?avibaseid=9A60617EE376ABE9,Least concern
Dendrocygna arcuata,,,
Dendrocygna javanica,UB::Western-Palearctic::Rare/Accidental ,https://avibase.bsc-eoc.org/species.jsp?avibaseid=BD683E6E9F6B03A4,Least concern
Thalassornis leuconotus,,,
Anser indicus,UB::Western-Palearctic::Introduced-species ,https://avibase.bsc-eoc.org/species.jsp?avibaseid=B7159EF0DE54C384,Least concern
Anser canagicus,UB::Western-Palearctic::Introduced-species ,https://avibase.bsc-eoc.org/species.jsp?avibaseid=1E6F0F8D43759948,Least concern
Anser caerulescens,UB::Western-Palearctic::Rare/Accidental ,https://avibase.bsc-eoc.org/species.jsp?avibaseid=D3A260BCA65503C6,Least concern
Anser rossii,UB::Western-Palearctic::Rare/Accidental ,https://avibase.bsc-eoc.org/species.jsp?avibaseid=7A24F57F87F66E97,Least concern
Anser anser,UB::Western-Palearctic::Common ,https://avibase.bsc-eoc.org/species.jsp?avibaseid=4AED44E819A43204,Least concern
Anser cygnoides,UB::Western-Palearctic::Common ,https://avibase.bsc-eoc.org/species.jsp?avibaseid=946E45176CFB6DE7,Endangered
Anser albifrons,UB::Western-Palearctic::Common ,https://avibase.bsc-eoc.org/species.jsp?avibaseid=466E9077BE220EBE,Least concern
Anser erythropus,UB::Western-Palearctic::Common ,https://avibase.bsc-eoc.org/species.jsp?avibaseid=184D232983E7AD10,Vulnerable
Anser fabalis,UB::Western-Palearctic::Common ,https://avibase.bsc-eoc.org/species.jsp?avibaseid=BDB497A352D152DB,Least concern
Anser serrirostris,UB::Western-Palearctic::Common ,https://avibase.bsc-eoc.org/species.jsp?avibaseid=AD849FCBCC68A520,Least concern
Anser brachyrhynchus,UB::Western-Palearctic::Common ,https://avibase.bsc-eoc.org/species.jsp?avibaseid=AFA7EE7470F000E9,Least concern
Branta bernicla,UB::Western-Palearctic::Common ,https://avibase.bsc-eoc.org/species.jsp?avibaseid=3E04020B54C14FCC,Least concern
Branta leucopsis,UB::Western-Palearctic::Common ,https://avibase.bsc-eoc.org/species.jsp?avibaseid=3163ED86A508BB83,Least concern
Branta hutchinsii,UB::Western-Palearctic::Rare/Accidental ,https://avibase.bsc-eoc.org/species.jsp?avibaseid=60214D4970BA4158,Least concern
Branta canadensis,UB::Western-Palearctic::Common ,https://avibase.bsc-eoc.org/species.jsp?avibaseid=B59E18633E2EFD25,Least concern
Branta sandvicensis,,,
Branta ruficollis,UB::Western-Palearctic::Common ,https://avibase.bsc-eoc.org/species.jsp?avibaseid=0D280B3F11B099B2,Vulnerable
Cereopsis novaehollandiae,,,
Stictonetta naevosa,,,
Cyanochen cyanoptera,,,
Cygnus olor,UB::Western-Palearctic::Common ,https://avibase.bsc-eoc.org/species.jsp?avibaseid=694C127A5D849FFE,Least concern
Cygnus atratus,UB::Western-Palearctic::Introduced-species ,https://avibase.bsc-eoc.org/species.jsp?avibaseid=46B54DB1D4CF50D3,Least concern
Cygnus melancoryphus,,,
Cygnus buccinator,,,
Cygnus columbianus,UB::Western-Palearctic::Common ,https://avibase.bsc-eoc.org/species.jsp?avibaseid=0BCBA6B9CC19E7BA,Least concern
Cygnus cygnus,UB::Western-Palearctic::Common ,https://avibase.bsc-eoc.org/species.jsp?avibaseid=BDDB5670D2D20A55,Least concern
Coscoroba coscoroba,,,
Sarkidiornis melanotos,UB::Western-Palearctic::Rare/Accidental ,https://avibase.bsc-eoc.org/species.jsp?avibaseid=3948131B5C866873,Least concern
Sarkidiornis sylvicola,,,
Pteronetta hartlaubii,,,
Oressochen jubatus,,,
Oressochen melanopterus,,,
Chloephaga picta,UB::Western-Palearctic::Uncertain-origin ,https://avibase.bsc-eoc.org/species.jsp?avibaseid=74FC5DAB02BDF076,Least concern
Chloephaga hybrida,,,
Chloephaga poliocephala,,,
Chloephaga rubidiceps,,,
Radjah radjah,,,
Alopochen aegyptiaca,UB::Western-Palearctic::Common ,https://avibase.bsc-eoc.org/species.jsp?avibaseid=DA2F24E310CF72A6,Least concern
Alopochen mauritiana,,,
Alopochen kervazoi,,,
Tadorna ferruginea,UB::Western-Palearctic::Common ,https://avibase.bsc-eoc.org/species.jsp?avibaseid=1F9D883EB44DEFD6,Least concern
Tadorna cana,UB::Western-Palearctic::Uncertain-origin ,https://avibase.bsc-eoc.org/species.jsp?avibaseid=D9DEA77E9D637151,Least concern
Tadorna tadornoides,,,
Tadorna variegata,,,
Tadorna tadorna,UB::Western-Palearctic::Common ,https://avibase.bsc-eoc.org/species.jsp?avibaseid=5EAB32D3007896F3,Least concern
Tadorna cristata,,,
Plectropterus gambensis,UB::Western-Palearctic::Rare/Accidental ,https://avibase.bsc-eoc.org/species.jsp?avibaseid=EB01B24C6C4CDD54,Least concern
Tachyeres patachonicus,,,
Tachyeres pteneres,,,
Tachyeres brachypterus,,,
Tachyeres leucocephalus,,,
Lophonetta specularioides,,,
Speculanas specularis,,,
Cairina moschata,UB::Western-Palearctic::Introduced-species ,https://avibase.bsc-eoc.org/species.jsp?avibaseid=8DE140468464FA45,Least concern
Nettapus pulchellus,,,
Nettapus coromandelianus,UB::Western-Palearctic::Rare/Accidental ,https://avibase.bsc-eoc.org/species.jsp?avibaseid=90AAE188290B503E,Least concern
Nettapus auritus,,,
Callonetta leucophrys,,,
Aix sponsa,UB::Western-Palearctic::Rare/Accidental ,https://avibase.bsc-eoc.org/species.jsp?avibaseid=27B2749A88E3E2C8,Least concern
Aix galericulata,UB::Western-Palearctic::Common ,https://avibase.bsc-eoc.org/species.jsp?avibaseid=E1714A09EA1DFD1D,Least concern
Chenonetta jubata,,,
Chenonetta finschi,,,
Amazonetta brasiliensis,,,
Hymenolaimus malacorhynchos,,,
Merganetta armata,,,
Salvadorina waigiuensis,,,
Sibirionetta formosa,UB::Western-Palearctic::Common ,https://avibase.bsc-eoc.org/species.jsp?avibaseid=63EABB42903040B4,Least concern
Spatula querquedula,UB::Western-Palearctic::Common ,https://avibase.bsc-eoc.org/species.jsp?avibaseid=F577BA0F5BB7BD3F,Least concern
Spatula hottentota,,,
Spatula versicolor,,,
Spatula puna,,,
Spatula discors,UB::Western-Palearctic::Rare/Accidental ,https://avibase.bsc-eoc.org/species.jsp?avibaseid=90E2543E9A4ABA0A,Least concern
Spatula cyanoptera,UB::Western-Palearctic::Common ,https://avibase.bsc-eoc.org/species.jsp?avibaseid=0E599E6CC209AFAD,Least concern
Spatula platalea,,,
Spatula smithii,UB::Western-Palearctic::Rare/Accidental ,https://avibase.bsc-eoc.org/species.jsp?avibaseid=4670CF434BF8489C,Least concern
Spatula rhynchotis,,,
Spatula clypeata,UB::Western-Palearctic::Common ,https://avibase.bsc-eoc.org/species.jsp?avibaseid=ED4CE8E7CFF43696,Least concern
Mareca strepera,UB::Western-Palearctic::Common ,https://avibase.bsc-eoc.org/species.jsp?avibaseid=C235A4D712BB8855,Least concern
Mareca falcata,UB::Western-Palearctic::Common ,https://avibase.bsc-eoc.org/species.jsp?avibaseid=978D448531E03998,Least concern
Mareca penelope,UB::Western-Palearctic::Common ,https://avibase.bsc-eoc.org/species.jsp?avibaseid=15EE0D3685082E13,Least concern
Mareca americana,UB::Western-Palearctic::Common ,https://avibase.bsc-eoc.org/species.jsp?avibaseid=D201EB7230F20770,Least concern
Mareca sibilatrix,,,
Mareca marecula,,,
Anas sparsa,,,
Anas undulata,,,
Anas melleri,,,
Anas superciliosa,,,
Anas laysanensis,,,
Anas wyvilliana,,,
Anas luzonica,,,
Anas poecilorhyncha,UB::Western-Palearctic::Common ,https://avibase.bsc-eoc.org/species.jsp?avibaseid=759C5EB8F2513E96,Least concern
Anas zonorhyncha,UB::Western-Palearctic::Uncertain-origin ,https://avibase.bsc-eoc.org/species.jsp?avibaseid=E21470F9073AC877,Least concern
Anas platyrhynchos,UB::Western-Palearctic::Common ,https://avibase.bsc-eoc.org/species.jsp?avibaseid=85625D75F2524457,Least concern
Anas diazi,,,
Anas rubripes,UB::Western-Palearctic::Rare/Accidental ,https://avibase.bsc-eoc.org/species.jsp?avibaseid=C732CB106EE8BAE8,Least concern
Anas fulvigula,,,
Anas capensis,UB::Western-Palearctic::Rare/Accidental ,https://avibase.bsc-eoc.org/species.jsp?avibaseid=25DA0F41467279DF,Least concern
Anas bahamensis,,,
Anas erythrorhyncha,UB::Western-Palearctic::Rare/Accidental ,https://avibase.bsc-eoc.org/species.jsp?avibaseid=8F6876AC4DDE3CB7,Least concern
Anas acuta,UB::Western-Palearctic::Common ,https://avibase.bsc-eoc.org/species.jsp?avibaseid=56CCA7179C9FA71D,Least concern
Anas eatoni,,,
Anas georgica,,,
Anas crecca,UB::Western-Palearctic::Common ,https://avibase.bsc-eoc.org/species.jsp?avibaseid=BC6C3CCE5C1B5D9B,Least concern
Anas andium,,,
Anas flavirostris,,,
Anas theodori,,,
Anas albogularis,,,
Anas gibberifrons,,,
Anas gracilis,,,
Anas castanea,,,
Anas bernieri,,,
Anas aucklandica,,,
Anas nesiotis,,,
Anas chlorotis,,,
Malacorhynchus membranaceus,,,
Marmaronetta angustirostris,UB::Western-Palearctic::Common ,https://avibase.bsc-eoc.org/species.jsp?avibaseid=6362936EA12874F1,Near-threatened
Rhodonessa caryophyllacea,,,
Asarcornis scutulata,,,
Netta rufina,UB::Western-Palearctic::Common ,https://avibase.bsc-eoc.org/species.jsp?avibaseid=3EC2CDA952B4A18C,Least concern
Netta erythrophthalma,UB::Western-Palearctic::Rare/Accidental ,https://avibase.bsc-eoc.org/species.jsp?avibaseid=36C0242EAEB3388E,Least concern
Netta peposaca,,,
Aythya valisineria,UB::Western-Palearctic::Rare/Accidental ,https://avibase.bsc-eoc.org/species.jsp?avibaseid=1929E1E16E073570,Least concern
Aythya americana,UB::Western-Palearctic::Rare/Accidental ,https://avibase.bsc-eoc.org/species.jsp?avibaseid=3072CC168280168B,Least concern
Aythya ferina,UB::Western-Palearctic::Common ,https://avibase.bsc-eoc.org/species.jsp?avibaseid=A96692E0C9F7508B,Vulnerable
Aythya collaris,UB::Western-Palearctic::Rare/Accidental ,https://avibase.bsc-eoc.org/species.jsp?avibaseid=0783A7EA9C26947D,Least concern
Aythya nyroca,UB::Western-Palearctic::Common ,https://avibase.bsc-eoc.org/species.jsp?avibaseid=7CF91527F5832F30,Near-threatened
Aythya innotata,,,
Aythya baeri,,,
Aythya australis,,,
Aythya fuligula,UB::Western-Palearctic::Common ,https://avibase.bsc-eoc.org/species.jsp?avibaseid=67CEA1C1FC88F1DB,Least concern
Aythya novaeseelandiae,,,
Aythya marila,UB::Western-Palearctic::Common ,https://avibase.bsc-eoc.org/species.jsp?avibaseid=25C94A8F90A829F7,Least concern
Aythya affinis,UB::Western-Palearctic::Rare/Accidental ,https://avibase.bsc-eoc.org/species.jsp?avibaseid=50566E50C91B8686,Least concern
Polysticta stelleri,UB::Western-Palearctic::Common ,https://avibase.bsc-eoc.org/species.jsp?avibaseid=BA07D0168474EB92,Vulnerable
Camptorhynchus labradorius,,,
Somateria fischeri,UB::Western-Palearctic::Rare/Accidental ,https://avibase.bsc-eoc.org/species.jsp?avibaseid=7D8BF5CCA035FB99,Near-threatened
Somateria spectabilis,UB::Western-Palearctic::Common ,https://avibase.bsc-eoc.org/species.jsp?avibaseid=F3D7491432CC59E7,Least concern
Somateria mollissima,UB::Western-Palearctic::Common ,https://avibase.bsc-eoc.org/species.jsp?avibaseid=B77377EEB852D0AF,Near-threatened
Histrionicus histrionicus,UB::Western-Palearctic::Common ,https://avibase.bsc-eoc.org/species.jsp?avibaseid=BCBD2EAECA774B19,Least concern
Melanitta perspicillata,UB::Western-Palearctic::Common ,https://avibase.bsc-eoc.org/species.jsp?avibaseid=624078BAC17F8111,Least concern
Melanitta fusca,UB::Western-Palearctic::Common ,https://avibase.bsc-eoc.org/species.jsp?avibaseid=BAF44E36E8D647CB,Vulnerable
Melanitta deglandi,UB::Western-Palearctic::Common ,https://avibase.bsc-eoc.org/species.jsp?avibaseid=4800D6B673F13A48,Least concern
Melanitta stejnegeri,UB::Western-Palearctic::Common ,https://avibase.bsc-eoc.org/species.jsp?avibaseid=1A601D86C048CBAA,Least concern
Melanitta nigra,UB::Western-Palearctic::Common ,https://avibase.bsc-eoc.org/species.jsp?avibaseid=246981996A4998ED,Least concern
Melanitta americana,UB::Western-Palearctic::Rare/Accidental ,https://avibase.bsc-eoc.org/species.jsp?avibaseid=B7B1A5DD94724A05,Near-threatened
Clangula hyemalis,UB::Western-Palearctic::Common ,https://avibase.bsc-eoc.org/species.jsp?avibaseid=AF0C7BDEC7CEBAAC,Vulnerable
Bucephala albeola,UB::Western-Palearctic::Rare/Accidental ,https://avibase.bsc-eoc.org/species.jsp?avibaseid=FB7383856D0DB2EA,Least concern
Bucephala clangula,UB::Western-Palearctic::Common ,https://avibase.bsc-eoc.org/species.jsp?avibaseid=68EA281AF74846D2,Least concern
Bucephala islandica,UB::Western-Palearctic::Common ,https://avibase.bsc-eoc.org/species.jsp?avibaseid=9456DEDF7E1AADF3,Least concern
Mergellus albellus,UB::Western-Palearctic::Common ,https://avibase.bsc-eoc.org/species.jsp?avibaseid=F1F520368CC95F88,Least concern
Lophodytes cucullatus,UB::Western-Palearctic::Rare/Accidental ,https://avibase.bsc-eoc.org/species.jsp?avibaseid=60E6081E3DF8CFA4,Least concern
Mergus australis,,,
Mergus merganser,UB::Western-Palearctic::Common ,https://avibase.bsc-eoc.org/species.jsp?avibaseid=407E2CA886367DBB,Least concern
Mergus octosetaceus,,,
Mergus serrator,UB::Western-Palearctic::Common ,https://avibase.bsc-eoc.org/species.jsp?avibaseid=8DB64266A42FC19B,Least concern
Mergus squamatus,,,
Heteronetta atricapilla,,,
Nomonyx dominicus,,,
Oxyura jamaicensis,UB::Western-Palearctic::Common ,https://avibase.bsc-eoc.org/species.jsp?avibaseid=675EEA7FBD490CED,Least concern
Oxyura ferruginea,,,
Oxyura leucocephala,UB::Western-Palearctic::Common ,https://avibase.bsc-eoc.org/species.jsp?avibaseid=2E40EF2C53646E30,Endangered
Oxyura maccoa,,,
Oxyura vittata,,,
Oxyura australis,,,
Biziura lobata,,,
Alectura lathami,,,
Aepypodius arfakianus,,,
Aepypodius bruijnii,,,
Talegalla cuvieri,,,
Talegalla fuscirostris,,,
Talegalla jobiensis,,,
Leipoa ocellata,,,
Macrocephalon maleo,,,
Eulipoa wallacei,,,
Megapodius pritchardii,,,
Megapodius laperouse,,,
Megapodius nicobariensis,,,
Megapodius cumingii,,,
Megapodius bernsteinii,,,
Megapodius tenimberensis,,,
Megapodius freycinet,,,
Megapodius geelvinkianus,,,
Megapodius eremita,,,
Megapodius layardi,,,
Megapodius decollatus,,,
Megapodius reinwardt,,,
Penelopina nigra,,,
Chamaepetes unicolor,,,
Chamaepetes goudotii,,,
Aburria aburri,,,
Pipile jacutinga,,,
Pipile pipile,,,
Pipile cumanensis,,,
Pipile grayi,,,
Pipile cujubi,,,
Penelope argyrotis,,,
Penelope bridgesi,,,
Penelope obscura,,,
Penelope pileata,,,
Penelope ochrogaster,,,
Penelope jacucaca,,,
Penelope barbata,,,
Penelope purpurascens,,,
Penelope superciliaris,,,
Penelope marail,,,
Penelope albipennis,,,
Penelope ortoni,,,
Penelope montagnii,,,
Penelope dabbenei,,,
Penelope jacquacu,,,
Penelope perspicax,,,
Oreophasis derbianus,,,
Nothocrax urumutum,,,
Pauxi pauxi,,,
Pauxi koepckeae,,,
Pauxi unicornis,,,
Mitu tomentosum,,,
Mitu mitu,,,
Mitu salvini,,,
Mitu tuberosum,,,
Crax daubentoni,,,
Crax rubra,,,
Crax alberti,,,
Crax globulosa,,,
Crax blumenbachii,,,
Crax alector,,,
Crax fasciolata,,,
Ortalis vetula,,,
Ortalis leucogastra,,,
Ortalis poliocephala,,,
Ortalis wagleri,,,
Ortalis cinereiceps,,,
Ortalis erythroptera,,,
Ortalis motmot,,,
Ortalis ruficeps,,,
Ortalis canicollis,,,
Ortalis columbiana,,,
Ortalis guttata,,,
Ortalis superciliaris,,,
Ortalis araucuan,,,
Ortalis squamata,,,
Ortalis garrula,,,
Ortalis ruficauda,,,
Numida meleagris,UB::Western-Palearctic::Common ,https://avibase.bsc-eoc.org/species.jsp?avibaseid=1044B438EE7556BB,Least concern
Agelastes meleagrides,,,
Agelastes niger,,,
Acryllium vulturinum,,,
Guttera plumifera,,,
Guttera pucherani,,,
Guttera verreauxi,,,
Guttera edouardi,,,
Ptilopachus petrosus,,,
Ptilopachus nahani,,,
Rhynchortyx cinctus,,,
Oreortyx pictus,,,
Dendrortyx leucophrys,,,
Dendrortyx macroura,,,
Dendrortyx barbatus,,,
Philortyx fasciatus,,,
Colinus virginianus,UB::Western-Palearctic::Introduced-species ,https://avibase.bsc-eoc.org/species.jsp?avibaseid=91CCBC719C97AE19,Near-threatened
Colinus nigrogularis,,,
Colinus leucopogon,,,
Colinus cristatus,,,
Callipepla squamata,,,
Callipepla douglasii,,,
Callipepla californica,UB::Western-Palearctic::Introduced-species ,https://avibase.bsc-eoc.org/species.jsp?avibaseid=F93AC929F265F3EF,Least concern
Callipepla gambelii,,,
Cyrtonyx montezumae,,,
Cyrtonyx ocellatus,,,
Dactylortyx thoracicus,,,
Odontophorus gujanensis,,,
Odontophorus capueira,,,
Odontophorus melanotis,,,
Odontophorus atrifrons,,,
Odontophorus erythrops,,,
Odontophorus hyperythrus,,,
Odontophorus melanonotus,,,
Odontophorus speciosus,,,
Odontophorus dialeucos,,,
Odontophorus strophium,,,
Odontophorus columbianus,,,
Odontophorus leucolaemus,,,
Odontophorus balliviani,,,
Odontophorus stellatus,,,
Odontophorus guttatus,,,
Xenoperdix udzungwensis,,,
Caloperdix oculeus,,,
Rollulus rouloul,,,
Melanoperdix niger,,,
Arborophila torqueola,,,
Arborophila rufipectus,,,
Arborophila mandellii,,,
Arborophila gingica,,,
Arborophila rufogularis,,,
Arborophila rubrirostris,,,
Arborophila cambodiana,,,
Arborophila ardens,,,
Arborophila crudigularis,,,
Arborophila atrogularis,,,
Arborophila brunneopectus,,,
Arborophila davidi,,,
Arborophila hyperythra,,,
Arborophila campbelli,,,
Arborophila rolli,,,
Arborophila sumatrana,,,
Arborophila javanica,,,
Arborophila orientalis,,,
Lerwa lerwa,,,
Ithaginis cruentus,,,
Tragopan melanocephalus,,,
Tragopan satyra,,,
Tragopan blythii,,,
Tragopan temminckii,,,
Tragopan caboti,,,
Tetraophasis obscurus,,,
Tetraophasis szechenyii,,,
Lophophorus impejanus,,,
Lophophorus sclateri,,,
Lophophorus lhuysii,,,
Pucrasia macrolopha,,,
Meleagris gallopavo,UB::Western-Palearctic::Introduced-species ,https://avibase.bsc-eoc.org/species.jsp?avibaseid=9C5ED06A51A9FFEE,Least concern
Meleagris ocellata,,,
Bonasa umbellus,,,
Tetrastes bonasia,UB::Western-Palearctic::Common ,https://avibase.bsc-eoc.org/species.jsp?avibaseid=B8CA2EEB4E7E0CA3,Least concern
Tetrastes sewerzowi,,,
Centrocercus urophasianus,,,
Centrocercus minimus,,,
Dendragapus obscurus,,,
Dendragapus fuliginosus,,,
Tympanuchus phasianellus,,,
Tympanuchus cupido,,,
Tympanuchus pallidicinctus,,,
Lagopus leucura,,,
Lagopus scotica,UB::Western-Palearctic::Common ,https://avibase.bsc-eoc.org/species.jsp?avibaseid=57065B64D3BADA12,Least concern
Lagopus lagopus,UB::Western-Palearctic::Common ,https://avibase.bsc-eoc.org/species.jsp?avibaseid=6CCEAF5D74B10547,Least concern
Lagopus muta,UB::Western-Palearctic::Common ,https://avibase.bsc-eoc.org/species.jsp?avibaseid=79B161B7017DD7ED,Least concern
Falcipennis falcipennis,,,
Canachites canadensis,,,
Tetrao urogallus,UB::Western-Palearctic::Common ,https://avibase.bsc-eoc.org/species.jsp?avibaseid=C3221EE24B948F50,Least concern
Tetrao urogalloides,UB::Western-Palearctic::Common ,https://avibase.bsc-eoc.org/species.jsp?avibaseid=117B69091564DBC1,Least concern
Lyrurus tetrix,UB::Western-Palearctic::Common ,https://avibase.bsc-eoc.org/species.jsp?avibaseid=D4441CD6E9C993EF,Least concern
Lyrurus mlokosiewiczi,UB::Western-Palearctic::Common ,https://avibase.bsc-eoc.org/species.jsp?avibaseid=4ACE5613FF666F16,Near-threatened
Rhizothera longirostris,,,
Rhizothera dulitensis,,,
Perdix hodgsoniae,,,
Perdix perdix,UB::Western-Palearctic::Common ,https://avibase.bsc-eoc.org/species.jsp?avibaseid=C013A20E7F91419D,Least concern
Perdix dauurica,UB::Western-Palearctic::Introduced-species ,https://avibase.bsc-eoc.org/species.jsp?avibaseid=0923A272116E8D4E,Least concern
Syrmaticus soemmerringii,,,
Syrmaticus reevesii,UB::Western-Palearctic::Introduced-species ,https://avibase.bsc-eoc.org/species.jsp?avibaseid=94785AFFA715F16E,Vulnerable
Syrmaticus mikado,,,
Syrmaticus ellioti,,,
Syrmaticus humiae,,,
Chrysolophus pictus,UB::Western-Palearctic::Introduced-species ,https://avibase.bsc-eoc.org/species.jsp?avibaseid=093AC1FC5140E629,Least concern
Chrysolophus amherstiae,UB::Western-Palearctic::Introduced-species ,https://avibase.bsc-eoc.org/species.jsp?avibaseid=DDF032E83155CBB2,Least concern
Phasianus colchicus,UB::Western-Palearctic::Common ,https://avibase.bsc-eoc.org/species.jsp?avibaseid=2FA39DCD42F80BC9,Least concern
Phasianus versicolor,,,
Catreus wallichii,,,
Crossoptilon harmani,,,
Crossoptilon crossoptilon,,,
Crossoptilon mantchuricum,,,
Crossoptilon auritum,,,
Lophura edwardsi,,,
Lophura swinhoii,,,
