Scientific (Clements),IMAGES,DESC
Struthio camelus,"<div class=""img-w-txt""><div class=""type"">Breeding male</div><img src=""https://cdn.download.ams.birds.cornell.edu/api/v1/asset/221510791/640""><div class=""credit"">©&nbsp;Marco Valentini</div></div><div class=""img-w-txt""><div class=""type"">Female/immature</div><img src=""https://cdn.download.ams.birds.cornell.edu/api/v1/asset/221510801/640""><div class=""credit"">©&nbsp;Olivier Langrand</div></div><div class=""img-w-txt""><div class=""type"">Nonbreeding male</div><img src=""https://cdn.download.ams.birds.cornell.edu/api/v1/asset/221510841/640""><div class=""credit"">©&nbsp;Holger Teichmann</div></div><div class=""img-w-txt""><div class=""type"">Chick</div><img src=""https://cdn.download.ams.birds.cornell.edu/api/v1/asset/221510781/640""><div class=""credit"">©&nbsp;Michael McCloy</div></div><div class=""img-w-txt""><div class=""type"">Female/immature</div><img src=""https://cdn.download.ams.birds.cornell.edu/api/v1/asset/221510771/640""><div class=""credit"">©&nbsp;Holger Teichmann</div></div><div class=""img-w-txt""><div class=""type"">Breeding male</div><img src=""https://cdn.download.ams.birds.cornell.edu/api/v1/asset/221510711/640""><div class=""credit"">©&nbsp;Kevin Vande Vusse</div></div><div class=""img-w-txt""><div class=""type"">Female/immature</div><img src=""https://cdn.download.ams.birds.cornell.edu/api/v1/asset/221510731/640""><div class=""credit"">©&nbsp;Robbin Mallett</div></div>","Massive, conspicuous, flightless bird with long neck and robust legs. Mature males have black-and-white plumage, with pinkish skin, flushed in breeding plumage. Females and immatures are duller gray-brown. Small groups roam open and lightly-wooded country; can walk up to several kilometers a day. The stubby wings are used for spectacular breeding displays and dust-bathing. Deep booming calls can be heard from long distances. Similar Somali Ostrich (no range overlap) has slaty-colored skin and pale eyes, unlike the pink-skinned Common Ostrich."
Struthio molybdophanes,"<div class=""img-w-txt""><div class=""type"">Male</div><img src=""https://cdn.download.ams.birds.cornell.edu/api/v1/asset/244378051/640""><div class=""credit"">©&nbsp;Dan Bormann</div></div><div class=""img-w-txt""><div class=""type"">Female/immature male</div><img src=""https://cdn.download.ams.birds.cornell.edu/api/v1/asset/244378031/640""><div class=""credit"">©&nbsp;Bruce Barrett</div></div><div class=""img-w-txt""><div class=""type"">Female/immature</div><img src=""https://cdn.download.ams.birds.cornell.edu/api/v1/asset/244378081/640""><div class=""credit"">©&nbsp;Holger Teichmann</div></div><div class=""img-w-txt""><div class=""type"">Male</div><img src=""https://cdn.download.ams.birds.cornell.edu/api/v1/asset/244378041/640""><div class=""credit"">©&nbsp;Jasdev Imani</div></div><div class=""img-w-txt""><div class=""type"">Male and female</div><img src=""https://cdn.download.ams.birds.cornell.edu/api/v1/asset/244378021/640""><div class=""credit"">©&nbsp;Lars Petersson | My World of Bird Photography</div></div><div class=""img-w-txt""><div class=""type"">Female</div><img src=""https://cdn.download.ams.birds.cornell.edu/api/v1/asset/244378061/640""><div class=""credit"">©&nbsp;Luke Seitz</div></div>","A long-legged and long-necked flightless bird. Males have a blue-gray neck and legs, but the bill and front of the legs become pink when breeding. Females have dull pinkish-colored legs and neck. Found in a variety of dry habitats, including grassland, thornscrub, and semi-desert. Often in small groups. Very similar to Common Ostrich, but males separated by their blue legs and neck and the lack of a white ring at the base of the neck. Females are separated by their pale eyes. The voice is a deep, lion-like booming."
Casuarius casuarius,"<div class=""img-w-txt""><div class=""type"">Adult</div><img src=""https://cdn.download.ams.birds.cornell.edu/api/v1/asset/121400251/640""><div class=""credit"">©&nbsp;Ed Pierce</div></div><div class=""img-w-txt""><div class=""type"">Adult</div><img src=""https://cdn.download.ams.birds.cornell.edu/api/v1/asset/121400271/640""><div class=""credit"">©&nbsp;David Hollie</div></div><div class=""img-w-txt""><div class=""type"">Immature</div><img src=""https://cdn.download.ams.birds.cornell.edu/api/v1/asset/121400261/640""><div class=""credit"">©&nbsp;Andrew Wood</div></div><div class=""img-w-txt""><div class=""type"">Juvenile</div><img src=""https://cdn.download.ams.birds.cornell.edu/api/v1/asset/121400281/640""><div class=""credit"">©&nbsp;Jan Lile</div></div><div class=""img-w-txt""><div class=""type"">Adult and immature</div><img src=""https://cdn.download.ams.birds.cornell.edu/api/v1/asset/121400231/640""><div class=""credit"">©&nbsp;Rohan van Twest</div></div>","Enormous flightless bird with dark glossy plumage and large, horn-like plate on colorful head with two red neck wattles. Unlikely to be confused with other species. Hatchlings are brown and strongly striped. Juvenile and Immature birds are similar to adults but browner and with an absent or developing head-plate. Found in dense tropical rainforest, where it can be seen crossing roads, or along roadsides."
Casuarius bennetti,"<div class=""img-w-txt""><div class=""type"">Adult</div><img src=""https://cdn.download.ams.birds.cornell.edu/api/v1/asset/261439411/640""><div class=""credit"">©&nbsp;jAN wIGMORE</div></div><div class=""img-w-txt""><div class=""type"">Immature</div><img src=""https://cdn.download.ams.birds.cornell.edu/api/v1/asset/261439421/640""><div class=""credit"">©&nbsp;Markus Lilje</div></div>","A huge flightless bird of hill and montane forest; occasionally in lowland rainforest, especially where other cassowary species are absent. The smallest member of the family. Plumage loose and black in adults, brown in juveniles. Adults have a bright blue neck with a red patch on the lower nape. Also note the low, rounded casque. Very secretive and seldom seen. Forages for fallen fruit on the forest floor. Similar to other cassowary species but smaller in size, with lower casque, lacking wattles and does not normally co-occur."
Casuarius unappendiculatus,"<div class=""img-w-txt""><div class=""type"">Adult</div><img src=""https://cdn.download.ams.birds.cornell.edu/api/v1/asset/261443991/640""><div class=""credit"">©&nbsp;Richard Pollard</div></div><div class=""img-w-txt""><div class=""type"">Immature</div><img src=""https://cdn.download.ams.birds.cornell.edu/api/v1/asset/261444001/640""><div class=""credit"">©&nbsp;Christian Cholette</div></div><div class=""img-w-txt""><div class=""type"">Juvenile</div><img src=""https://cdn.download.ams.birds.cornell.edu/api/v1/asset/261443921/640""><div class=""credit"">©&nbsp;Hervé JACOB</div></div><div class=""img-w-txt""><div class=""type"">Adult</div><img src=""https://cdn.download.ams.birds.cornell.edu/api/v1/asset/261443981/640""><div class=""credit"">©&nbsp;Daniel López-Velasco | Ornis Birding Expeditions</div></div><div class=""img-w-txt""><div class=""type"">Adult</div><img src=""https://cdn.download.ams.birds.cornell.edu/api/v1/asset/261443931/640""><div class=""credit"">©&nbsp;Sujan Chatterjee</div></div>","An enormous flightless bird of lowland rainforest. Shaggy black plumage, blue head and bright red or yellow around the base of the neck. Large casque flattened at the back and a single wattle from the throat. A very shy and little-known species which, like other cassowaries, forages on the forest floor, mainly for fallen fruit. Similar to Southern Cassowary but Northern has single rather than double wattle, different-shaped casque and usually red or yellow all the way around the base of the throat."
Dromaius novaehollandiae,"<div class=""img-w-txt""><div class=""type"">Adult</div><img src=""https://cdn.download.ams.birds.cornell.edu/api/v1/asset/621872552/640""><div class=""credit"">©&nbsp;JJ Harrison</div></div><div class=""img-w-txt""><div class=""type"">Adult</div><img src=""https://cdn.download.ams.birds.cornell.edu/api/v1/asset/121400481/640""><div class=""credit"">©&nbsp;Stefan Hirsch</div></div><div class=""img-w-txt""><div class=""type"">Adult</div><img src=""https://cdn.download.ams.birds.cornell.edu/api/v1/asset/121400461/640""><div class=""credit"">©&nbsp;Hayley Alexander</div></div><div class=""img-w-txt""><div class=""type"">Immature</div><img src=""https://cdn.download.ams.birds.cornell.edu/api/v1/asset/621872551/640""><div class=""credit"">©&nbsp;Peter Bennet</div></div><div class=""img-w-txt""><div class=""type"">Juvenile</div><img src=""https://cdn.download.ams.birds.cornell.edu/api/v1/asset/121400441/640""><div class=""credit"">©&nbsp;John  Van Doorn</div></div><div class=""img-w-txt""><div class=""type"">Adult</div><img src=""https://cdn.download.ams.birds.cornell.edu/api/v1/asset/121400471/640""><div class=""credit"">©&nbsp;Ian Davies</div></div><div class=""img-w-txt""><div class=""type"">Adult</div><img src=""https://cdn.download.ams.birds.cornell.edu/api/v1/asset/121400451/640""><div class=""credit"">©&nbsp;Hayley Alexander</div></div>","Endemic to Australia, this enormous flightless bird has drooping gray shaggy plumage. Only confusion possible with introduced Common Ostrich, but note Emu’s dark head and a shaggy-feathered neck. Hatchlings have distinctive stripes throughout. Juvenile and immature birds are darker than adults with more feathered necks. Prefers open country, where it roams around in loose flocks ranging from a few birds up to hundreds."
Apteryx australis,"<div class=""img-w-txt""><div class=""type""></div><img src=""https://cdn.download.ams.birds.cornell.edu/api/v1/asset/110122171/640""><div class=""credit"">©&nbsp;Anonymous</div></div><div class=""img-w-txt""><div class=""type""></div><img src=""https://cdn.download.ams.birds.cornell.edu/api/v1/asset/223478781/640""><div class=""credit"">©&nbsp;Edward Smith</div></div><div class=""img-w-txt""><div class=""type""></div><img src=""https://cdn.download.ams.birds.cornell.edu/api/v1/asset/110122181/640""><div class=""credit"">©&nbsp;Eric VanderWerf</div></div><div class=""img-w-txt""><div class=""type""></div><img src=""https://cdn.download.ams.birds.cornell.edu/api/v1/asset/223478791/640""><div class=""credit"">©&nbsp;William Stephens</div></div><div class=""img-w-txt""><div class=""type""></div><img src=""https://cdn.download.ams.birds.cornell.edu/api/v1/asset/223478751/640""><div class=""credit"">©&nbsp;Tony Palliser</div></div>","The largest of New Zealand’s kiwis. A reddish to dark brown kiwi with brown to black streaking. Inhabits native forest, tussock grassland, and neighboring farmland. Mostly nocturnal, with some day foraging observed on Stewart Island and certain locations in Fiordland. Restricted to the mountains near Haast, Fiordland, Stewart Island, and sanctuaries. Foraging produces clear audible sniffling. Males give a series of clear rising whistles while females give a harsh throaty wail. Both sexes repeat their call many times. Could be confused with Weka by voice and shape; look for the kiwi’s much longer bill and lack of tail, and listen for its multisyllabic call."
Apteryx rowi,"<div class=""img-w-txt""><div class=""type""></div><img src=""https://cdn.download.ams.birds.cornell.edu/api/v1/asset/360721391/640""><div class=""credit"">©&nbsp;Patrick Crowe</div></div><div class=""img-w-txt""><div class=""type""></div><img src=""https://cdn.download.ams.birds.cornell.edu/api/v1/asset/360721381/640""><div class=""credit"">©&nbsp;Me Me</div></div>","A large, dark grayish brown kiwi with brownish streaking, often showing white patches on face. Restricted to native forest near Okarito in New Zealand, with small populations on predator-free Mana, Blumine, and Motuara islands. Often heard at night foraging as it sniffs loudly, tapping the ground for invertebrates. Male call is a series of clear rising whistles. Female call is a harsh throaty wail. Both sexes repeat their call many times, and sometimes call simultaneously. Could be confused with Weka by voice and shape; look for the kiwi’s much longer bill and lack of tail, and listen for its multisyllabic call."
Apteryx mantelli,"<div class=""img-w-txt""><div class=""type""></div><img src=""https://cdn.download.ams.birds.cornell.edu/api/v1/asset/223479051/640""><div class=""credit"">©&nbsp;Jeff Skevington</div></div><div class=""img-w-txt""><div class=""type""></div><img src=""https://cdn.download.ams.birds.cornell.edu/api/v1/asset/223479071/640""><div class=""credit"">©&nbsp;Simon Gorta</div></div><div class=""img-w-txt""><div class=""type""></div><img src=""https://cdn.download.ams.birds.cornell.edu/api/v1/asset/110122421/640""><div class=""credit"">©&nbsp;Lisa Owens</div></div><div class=""img-w-txt""><div class=""type""></div><img src=""https://cdn.download.ams.birds.cornell.edu/api/v1/asset/110122431/640""><div class=""credit"">©&nbsp;Lisa Owens</div></div><div class=""img-w-txt""><div class=""type""></div><img src=""https://cdn.download.ams.birds.cornell.edu/api/v1/asset/110122411/640""><div class=""credit"">©&nbsp;Lisa Owens</div></div>","A large, dark grayish brown kiwi with reddish brown streaking. The only kiwi found in the wild on the mainland of New Zealand’s North Island. Found in both native and exotic forest, scrub, and neighboring farmland. More often heard than seen. Male call is a series of clear rising whistles. Female call is a harsh throaty wail. Both sexes repeat their call many times. Often heard at night foraging as it sniffs loudly, tapping the ground for invertebrates. Could be confused with Weka by voice and shape; look for the kiwi’s much longer bill and lack of tail, and listen for its multisyllabic call."
Apteryx owenii,"<div class=""img-w-txt""><div class=""type""></div><img src=""https://cdn.download.ams.birds.cornell.edu/api/v1/asset/110122471/640""><div class=""credit"">©&nbsp;Laurie Ross | Tracks Birding & Photography Tours</div></div><div class=""img-w-txt""><div class=""type""></div><img src=""https://cdn.download.ams.birds.cornell.edu/api/v1/asset/223495501/640""><div class=""credit"">©&nbsp;Shane Sumasgutner</div></div><div class=""img-w-txt""><div class=""type""></div><img src=""https://cdn.download.ams.birds.cornell.edu/api/v1/asset/223495521/640""><div class=""credit"">©&nbsp;George Hobson</div></div><div class=""img-w-txt""><div class=""type""></div><img src=""https://cdn.download.ams.birds.cornell.edu/api/v1/asset/223495591/640""><div class=""credit"">©&nbsp;Alex Berryman</div></div>","New Zealand’s smallest kiwi species. Light grayish brown with white horizontal banding or “spotting” along the length of the body. Restricted to offshore predator-free island sanctuaries and to the mainland Zealandia sanctuary in Wellington. More often heard than seen, including loud sniffling as it forages for invertebrates. Male produces a series of burry, rising high-pitched whistles. Female has a lower ascending burry whistle. Both sexes repeat their call many times, often duetting. Could be confused with Weka by voice and shape; look for the kiwi’s much longer bill and lack of tail, and listen for its multisyllabic call."
