Scientific (Clements),MNEMONIC
Struthio camelus,nan
Struthio molybdophanes,nan
Casuarius casuarius,nan
Casuarius bennetti,nan
Casuarius unappendiculatus,nan
Dromaius novaehollandiae,nan
Apteryx australis,nan
Apteryx rowi,nan
Apteryx mantelli,nan
Apteryx owenii,nan
Apteryx maxima,nan
Rhea americana,nan
Rhea pennata,nan
Tinamotis pentlandii,nan
Tinamotis ingoufi,nan
Eudromia formosa,nan
Eudromia elegans,nan
Taoniscus nanus,nan
Nothura boraquira,nan
Nothura minor,nan
Nothura darwinii,nan
Nothura maculosa,nan
Rhynchotus maculicollis,nan
Rhynchotus rufescens,nan
Nothoprocta cinerascens,nan
Nothoprocta pentlandii,nan
Nothoprocta curvirostris,nan
Nothoprocta ornata,nan
Nothoprocta taczanowskii,nan
Nothoprocta perdicaria,nan
Nothocercus julius,nan
Nothocercus nigrocapillus,nan
Nothocercus bonapartei,nan
Tinamus major,nan
Tinamus solitarius,nan
Tinamus tao,nan
Tinamus guttatus,nan
Tinamus osgoodi,nan
Crypturellus berlepschi,nan
Crypturellus cinereus,nan
Crypturellus ptaritepui,nan
Crypturellus parvirostris,nan
Crypturellus tataupa,nan
Crypturellus obsoletus,nan
Crypturellus variegatus,nan
Crypturellus bartletti,nan
Crypturellus casiquiare,nan
Crypturellus brevirostris,nan
Crypturellus soui,nan
Crypturellus undulatus,nan
Crypturellus noctivagus,nan
Crypturellus atrocapillus,nan
Crypturellus transfasciatus,nan
Crypturellus cinnamomeus,nan
Crypturellus boucardi,nan
Crypturellus kerriae,nan
Crypturellus erythropus,nan
Crypturellus duidae,nan
Crypturellus strigulosus,nan
Anhima cornuta,nan
Chauna torquata,nan
Chauna chavaria,nan
Anseranas semipalmata,nan
Dendrocygna guttata,nan
Dendrocygna eytoni,nan
Dendrocygna viduata,nan
Dendrocygna autumnalis,nan
Dendrocygna arborea,nan
Dendrocygna bicolor,nan
Dendrocygna arcuata,nan
Dendrocygna javanica,nan
Thalassornis leuconotus,nan
Anser indicus,nan
Anser canagicus,nan
Anser caerulescens,nan
Anser rossii,nan
Anser anser,nan
Anser cygnoides,nan
Anser albifrons,nan
Anser erythropus,nan
Anser fabalis,nan
Anser serrirostris,nan
Anser brachyrhynchus,nan
Branta bernicla,nan
Branta leucopsis,nan
Branta hutchinsii,nan
Branta canadensis,honk; honk; honk
Branta sandvicensis,nan
Branta ruficollis,nan
Cereopsis novaehollandiae,nan
Stictonetta naevosa,nan
Cyanochen cyanoptera,nan
Cygnus olor,nan
Cygnus atratus,nan
Cygnus melancoryphus,nan
Cygnus buccinator,nan
Cygnus columbianus,woo-ho and woo-woo
Cygnus cygnus,nan
Coscoroba coscoroba,nan
Sarkidiornis melanotos,nan
Sarkidiornis sylvicola,nan
Pteronetta hartlaubii,nan
Oressochen jubatus,nan
Oressochen melanopterus,nan
Chloephaga picta,nan
Chloephaga hybrida,nan
Chloephaga poliocephala,nan
Chloephaga rubidiceps,nan
Radjah radjah,nan
Alopochen aegyptiaca,nan
Alopochen mauritiana,nan
Alopochen kervazoi,nan
Tadorna ferruginea,nan
Tadorna cana,nan
Tadorna tadornoides,nan
Tadorna variegata,nan
Tadorna tadorna,nan
Tadorna cristata,nan
Plectropterus gambensis,nan
Tachyeres patachonicus,nan
Tachyeres pteneres,nan
Tachyeres brachypterus,nan
Tachyeres leucocephalus,nan
Lophonetta specularioides,nan
Speculanas specularis,nan
Cairina moschata,nan
Nettapus pulchellus,nan
Nettapus coromandelianus,nan
Nettapus auritus,nan
Callonetta leucophrys,nan
Aix sponsa,jeeeeeeee!<br/>!-sliding (hp) whistle<br/>whoo-eek (breathy; whistley)
Aix galericulata,nan
Chenonetta jubata,nan
Chenonetta finschi,nan
Amazonetta brasiliensis,nan
Hymenolaimus malacorhynchos,nan
Merganetta armata,nan
Salvadorina waigiuensis,nan
Sibirionetta formosa,nan
Spatula querquedula,nan
Spatula hottentota,nan
Spatula versicolor,nan
Spatula puna,nan
Spatula discors,nan
Spatula cyanoptera,nan
Spatula platalea,nan
Spatula smithii,nan
Spatula rhynchotis,nan
Spatula clypeata,nan
Mareca strepera,nan
Mareca falcata,nan
Mareca penelope,nan
Mareca americana,squeaky; nasal whistle
Mareca sibilatrix,nan
Mareca marecula,nan
Anas sparsa,nan
Anas undulata,nan
Anas melleri,nan
Anas superciliosa,nan
Anas laysanensis,nan
Anas wyvilliana,nan
Anas luzonica,nan
Anas poecilorhyncha,nan
Anas zonorhyncha,nan
Anas platyrhynchos,quack quack quack
Anas diazi,nan
Anas rubripes,quack quack quack (lower than a Mallard)
Anas fulvigula,nan
Anas capensis,nan
Anas bahamensis,nan
Anas erythrorhyncha,nan
Anas acuta,nan
Anas eatoni,nan
Anas georgica,nan
Anas crecca,nan
Anas andium,nan
Anas flavirostris,nan
Anas theodori,nan
Anas albogularis,nan
Anas gibberifrons,nan
Anas gracilis,nan
Anas castanea,nan
Anas bernieri,nan
Anas aucklandica,nan
Anas nesiotis,nan
Anas chlorotis,nan
Malacorhynchus membranaceus,nan
Marmaronetta angustirostris,nan
Rhodonessa caryophyllacea,nan
Asarcornis scutulata,nan
Netta rufina,nan
Netta erythrophthalma,nan
Netta peposaca,nan
Aythya valisineria,nan
Aythya americana,nan
Aythya ferina,nan
Aythya collaris,nan
Aythya nyroca,nan
Aythya innotata,nan
Aythya baeri,nan
Aythya australis,nan
Aythya fuligula,nan
Aythya novaeseelandiae,nan
Aythya marila,nan
Aythya affinis,nan
Polysticta stelleri,nan
Camptorhynchus labradorius,nan
Somateria fischeri,nan
Somateria spectabilis,nan
Somateria mollissima,ow-oo-urr<br/>whoo-ooh; whoo-ooh
Histrionicus histrionicus,nan
Melanitta perspicillata,nan
Melanitta fusca,nan
Melanitta deglandi,nan
Melanitta stejnegeri,nan
Melanitta nigra,nan
Melanitta americana,nan
Clangula hyemalis,nan
Bucephala albeola,nan
Bucephala clangula,pee-ik (raspy)
Bucephala islandica,nan
Mergellus albellus,nan
Lophodytes cucullatus,nan
Mergus australis,nan
Mergus merganser,ah; ah; ah; ah (low; even croaking in flight)
Mergus octosetaceus,nan
Mergus serrator,nan
Mergus squamatus,nan
Heteronetta atricapilla,nan
Nomonyx dominicus,nan
Oxyura jamaicensis,nan
Oxyura ferruginea,nan
Oxyura leucocephala,nan
Oxyura maccoa,nan
Oxyura vittata,nan
Oxyura australis,nan
Biziura lobata,nan
Alectura lathami,nan
Aepypodius arfakianus,nan
Aepypodius bruijnii,nan
Talegalla cuvieri,nan
Talegalla fuscirostris,nan
Talegalla jobiensis,nan
Leipoa ocellata,nan
Macrocephalon maleo,nan
Eulipoa wallacei,nan
Megapodius pritchardii,nan
Megapodius laperouse,nan
Megapodius nicobariensis,nan
Megapodius cumingii,nan
Megapodius bernsteinii,nan
Megapodius tenimberensis,nan
Megapodius freycinet,nan
Megapodius geelvinkianus,nan
Megapodius eremita,nan
Megapodius layardi,nan
Megapodius decollatus,nan
Megapodius reinwardt,nan
Penelopina nigra,nan
Chamaepetes unicolor,nan
Chamaepetes goudotii,nan
Aburria aburri,nan
Pipile jacutinga,nan
Pipile pipile,nan
Pipile cumanensis,nan
Pipile grayi,nan
Pipile cujubi,nan
Penelope argyrotis,nan
Penelope bridgesi,nan
Penelope obscura,nan
Penelope pileata,nan
Penelope ochrogaster,nan
Penelope jacucaca,nan
Penelope barbata,nan
Penelope purpurascens,nan
Penelope superciliaris,nan
Penelope marail,nan
Penelope albipennis,nan
Penelope ortoni,nan
Penelope montagnii,nan
Penelope dabbenei,nan
Penelope jacquacu,nan
Penelope perspicax,nan
Oreophasis derbianus,nan
Nothocrax urumutum,nan
Pauxi pauxi,nan
Pauxi koepckeae,nan
Pauxi unicornis,nan
Mitu tomentosum,nan
Mitu mitu,nan
Mitu salvini,nan
Mitu tuberosum,nan
Crax daubentoni,nan
Crax rubra,nan
Crax alberti,nan
Crax globulosa,nan
Crax blumenbachii,nan
Crax alector,nan
Crax fasciolata,nan
Ortalis vetula,nan
Ortalis leucogastra,nan
Ortalis poliocephala,nan
Ortalis wagleri,nan
Ortalis cinereiceps,nan
Ortalis erythroptera,nan
Ortalis motmot,nan
