English (Clements),Scientific (Clements),English (AviList),Scientific (AviList),TAXON_CONCEPT_ID,taxon_order,category,species_code,bio_concept_code,primary_com_name,sci_name,order1,family,species_group,sparse_report_as,report_as,four_letter_code,extinct,extinct_year,Afrikaans,Albanian,Arabic,Armenian,Assamese,Asturleonese,Azerbaijani,Bangla (Bangladesh),Bengali (India),Bengali,Bulgarian,Catalan,Chinese - Mandarin (trad),"Chinese, Hong Kong","Chinese, Simple","Creole, Haiti",Croatian,Czech,Danish,Dutch,English (AviList)_translations,English,"English, Australia","English, Bangladesh","English, HBW","English, Hawaii","English, Hong Kong","English, IOC","English, India","English, Kenya","English, Malaysia","English, New Zealand","English, Philippines","English, South Africa","English, UAE","English, United Kingdom","English, United States",Estonian,Euskera,Faroese,Finnish,French,"French, AOS","French, Canada","French, France","French, French Guiana","French, Guadeloupe","French, Haiti",Galician,Georgian,German,Greek,Gujarati,Hebrew,Hindi,Hungarian,Icelandic,Indonesian,Italian,Japanese,Kannada,Kashmiri (India),Kazakh,Konkani,Korean,Kyrgyz,Ladakhi,Latvian,Lithuanian,Malayalam,Manipuri,Marathi,Mizo,Mongolian,Māori,Nepali (India),Nepali (Nepal),Norwegian,Odia,Persian,Polish,"Portuguese, Angola","Portuguese, Azores","Portuguese, Brazil","Portuguese, Madeira","Portuguese, Portugal","Punjabi, India",Romanian,Russian,Serbian,Slovak,Slovenian,Spanish,"Spanish, Argentina","Spanish, Chile","Spanish, Costa Rica","Spanish, Cuba","Spanish, Dominican Republic","Spanish, Ecuador","Spanish, Honduras","Spanish, Mexico","Spanish, Panama","Spanish, Paraguay","Spanish, Peru","Spanish, Puerto Rico","Spanish, Spain","Spanish, Uruguay","Spanish, Venezuela",Swedish,"Tamil, India",Telugu,Thai,Turkish,Ukrainian,Zulu,pri_com_name_indxd,authority_code,authority_ver
Common Ostrich,Struthio camelus,Common Ostrich,Struthio camelus,avibase-2247CB05,2,species,ostric2,avibase-2247CB05,Common Ostrich,Struthio camelus,Struthioniformes,Struthionidae (Ostriches),Ostriches,,ostric2,,0,,Volstruis (Gewone Volstruis),,نعامة شائعة,,,Avestruz común,Adi dəvəquşu,,,,Обикновен щраус,estruç comú,,,,,noj,pštros dvouprstý,Masaistruds,Struisvogel,Common Ostrich,Common Ostrich,,,Common Ostrich,,,Common Ostrich,,,,,,,,,Common Ostrich,jaanalind,Ostruka arrunta,Strutsur,strutsi,Autruche d'Afrique,,Autruche d'Afrique,,,,,,,Strauß,(Κοινή) Στρουθοκάμηλος,,יען אפריקני,,,Strútur,,,ダチョウ,,,,,,,,Āfrikas strauss,Strutis,,,,,,,,,slettestruts,,,struś czerwonoskóry,Avestruz-comum,,,,Avestruz-comum,,Struț,Африканский страус,Noj,pštros dvojprstý,Noj,Avestruz Común,,,,,,,,,,,,,Avestruz común,,,struts,,,,Devekuşu,Страус африканський,intshe,"Ostrich, Common",EBIRD,2024
Somali Ostrich,Struthio molybdophanes,Somali Ostrich,Struthio molybdophanes,avibase-40329BB6,7,species,ostric3,avibase-40329BB6,Somali Ostrich,Struthio molybdophanes,Struthioniformes,Struthionidae (Ostriches),Ostriches,,ostric3,,0,,Somaliëvolstruis,,,,,Avestruz somalina,Somali dəvəquşusu,,,,Сомалийски щраус,estruç de Somàlia,,,,,somalijski noj,pštros somálský,Somalistruds,Somalische struisvogel,Somali Ostrich,Somali Ostrich,,,Somali Ostrich,,,Somali Ostrich,,,,,,,,,Somali Ostrich,somaali jaanalind,Ostruka somaliarra,,somalianstrutsi,Autruche de Somalie,,Autruche de Somalie,,,,,,,Somalistrauß,Στρουθοκάμηλος της Σομαλίας,,יען סומלי,,,,,,ソマリアダチョウ,,,,,,,,,,,,,,,,,,somalistruts,,,struś szaroskóry,,,,,Avestruz-da-etiópia,,,Сомалийский страус,Somalijski noj,pštros sivonohý,,Avestruz Somalí,,,,,,,,,,,,,Avestruz somalí,,,somaliastruts,,,,Somali Devekuşu,Страус сомалійський,,"Ostrich, Somali",EBIRD,2024
Southern Cassowary,Casuarius casuarius,Southern Cassowary,Casuarius casuarius,avibase-8B9D93D8,10,species,soucas1,avibase-8B9D93D8,Southern Cassowary,Casuarius casuarius,Casuariiformes,Casuariidae (Cassowaries and Emu),Cassowaries and Emu,,soucas1,,0,,Suidelike Kasuaris,,,,,Casuariu,Adi kazuar,,,,Обикновен казуар,casuari comú,,,,,veliki kazuar,kasuár přílbový,Hjelmkasuar,Helmkasuaris,Southern Cassowary,Southern Cassowary,,,Southern Cassowary,,,Southern Cassowary,,,,,,,,,Southern Cassowary,kiiverkaasuar,Kasuario handia,,kypäräkasuaari,Casoar à casque,,Casoar à casque,,,,,,,Helmkasuar,Καζουάριος του Νότου,,,,,Hjálmkasúi,Kasuari gelambir-ganda,,ヒクイドリ,,,,,,,,,,,,,,,,,,toflikkasuar,,,kazuar hełmiasty,,,,,,,,Шлемоносный казуар,Južni kazuar,kazuár veľkoprilbý,,Casuario Común,,,,,,,,,,,,,Casuario común,,,hjälmkasuar,,,,Güneyli Kasuari,Казуар шоломний,,"Cassowary, Southern",EBIRD,2024
Dwarf Cassowary,Casuarius bennetti,Dwarf Cassowary,Casuarius bennetti,avibase-7751E0D1,11,species,dwacas1,avibase-7751E0D1,Dwarf Cassowary,Casuarius bennetti,Casuariiformes,Casuariidae (Cassowaries and Emu),Cassowaries and Emu,,dwacas1,,0,,Dwergkasuaris,,,,,,Cırtdan kazuar,,,,Малък казуар,casuari de Bennett,,,,,mali kazuar,kasuár menší,Dværgkasuar,Dwergkasuaris,Dwarf Cassowary,Dwarf Cassowary,,,Dwarf Cassowary,,,Dwarf Cassowary,,,,,,,,,Dwarf Cassowary,väikekaasuar,Kasuario txikia,,pikkukasuaari,Casoar de Bennett,,Casoar de Bennett,,,,,,,Bennettkasuar,Νανοκαζουάριος,,,,,Dvergkasúi,Kasuari kerdil,,コヒクイドリ,,,,,,,,,,,,,,,,,,dvergkasuar,,,kazuar mniejszy,,,,,,,,Казуар-мурук,Patuljasti kazuar,kazuár muruk,,Casuario Menor,,,,,,,,,,,,,Casuario menor,,,dvärgkasuar,,,,Küçük Kasuari,Казуар малий,,"Cassowary, Dwarf",EBIRD,2024
Northern Cassowary,Casuarius unappendiculatus,Northern Cassowary,Casuarius unappendiculatus,avibase-32E7303B,12,species,norcas1,avibase-32E7303B,Northern Cassowary,Casuarius unappendiculatus,Casuariiformes,Casuariidae (Cassowaries and Emu),Cassowaries and Emu,,norcas1,,0,,Noordelike Kasuaris,,,,,,Narıncıboyun kazuar,,,,Голям казуар,casuari unicarunculat,,,,,šarenovrati kazuar,kasuár jednolaločný,Nordlig Kasuar,Oranjehalskasuaris,Northern Cassowary,Northern Cassowary,,,Northern Cassowary,,,Northern Cassowary,,,,,,,,,Northern Cassowary,kaeluskaasuar,Kasuario ertaina,,isokasuaari,Casoar unicaronculé,,Casoar unicaronculé,,,,,,,Einlappenkasuar,Καζουάριος του Βορρά,,,,,Sepakasúi,Kasuari gelambir-tunggal,,パプアヒクイドリ,,,,,,,,,,,,,,,,,,enflikkasuar,,,kazuar jednokoralowy,,,,,,,,Оранжевошейный казуар,Severni kazuar,kazuár džungľový,,Casuario Unicarunculado,,,,,,,,,,,,,Casuario unicarunculado,,,enflikig kasuar,,,,Kuzeyli Kasuari,Казуар жовтошиїй,,"Cassowary, Northern",EBIRD,2024
Emu,Dromaius novaehollandiae,Emu,Dromaius novaehollandiae,avibase-FD2456D5,13,species,emu1,avibase-FD2456D5,Emu,Dromaius novaehollandiae,Casuariiformes,Casuariidae (Cassowaries and Emu),Cassowaries and Emu,,emu1,,0,,Emoe,,,,,Emú,Emu,,,,Ему,emú comú,,,,,emu,emu hnědý,Emu,Emoe,Emu,Emu,,,Common Emu,,,Emu,,,,,,,,,Emu,emu,Emua,,emu,Émeu d'Australie,,Émeu d'Australie,,,,,,,Emu,Εμού,,אמו,,,Emúi,,,エミュー,,,,,,,,,,,,,,,,,,emu,,,emu (zwyczajne),,,,,Emu,,,Эму,Emu,emu hnedý,,Emú,,,,,,,,,,,,,Emú,,,emu,,,,Emu,Ему австралійський,,Emu,EBIRD,2024
Southern Brown Kiwi,Apteryx australis,Southern Brown Kiwi,Apteryx australis,avibase-6BA55EF0,19,species,sobkiw1,avibase-6BA55EF0,Southern Brown Kiwi,Apteryx australis,Apterygiformes,Apterygidae (Kiwis),Kiwis,,sobkiw1,,0,,Suidelike Bruinkiwi,,,,,Kiwi sureñu,,,,,Южно кафяво киви,kiwi bru de l'illa del Sud,,,,,mrki kivi,kivi jižní,Brun Kiwi,Zuidelijke bruine kiwi,Southern Brown Kiwi,Southern Brown Kiwi,,,Southern Brown Kiwi,,,Southern Brown Kiwi,,,,,,,,,Southern Brown Kiwi,pruunkiivi,,,eteläsaarenruskokiivi,Kiwi austral,,Kiwi austral,,,,,,,Südstreifenkiwi,,,,,,Brúnkíví,,,キーウィ,,,,,,,,,,,,,,,Tokoeka/Rakiura Tokoeka | Southern Brown Kiwi,,,sørbrunkivi,,,kiwi brunatny,,,,,,,,Бурый киви,Južni smeđi kivi,kivi južný,,Kiwi Sureño,,,,,,,,,,,,,Kiwi sureño,,,sydkivi,,,,Boz Kivi,Ківі бурий,,"Kiwi, Southern Brown",EBIRD,2024
Okarito Brown Kiwi,Apteryx rowi,Okarito Kiwi,Apteryx rowi,avibase-D433BDAB,22,species,okbkiw1,avibase-D433BDAB,Okarito Brown Kiwi,Apteryx rowi,Apterygiformes,Apterygidae (Kiwis),Kiwis,,okbkiw1,,0,,Okaritokiwi,,,,,,,,,,Окаритско киви,kiwi d'Okarito,,,,,sivoglavi kivi,kivi okaritský,Okarito Kiwi,Rowi,Okarito Brown Kiwi,Okarito Kiwi,,,Okarito Kiwi,,,Okarito Kiwi,,,,,,,,,Okarito Brown Kiwi,okarito kiivi,,,okaritonruskokiivi,Kiwi d'Okarito,,Kiwi d'Okarito,,,,,,,Okaritokiwi,,,,,,,,,オカリトキーウィ,,,,,,,,,,,,,,,Rowi | Okarito Brown Kiwi,,,okaritokivi,,,kiwi szary,,,,,,,,Окаритский киви,Okarito smeđi kivi,kivi hodvábny,,Kiwi de Okarito,,,,,,,,,,,,,Kiwi de Okarito,,,okaritokivi,,,,Okarito Kivisi,Ківі окаритський,,"Kiwi, Okarito Brown",EBIRD,2024
North Island Brown Kiwi,Apteryx mantelli,North Island Brown Kiwi,Apteryx mantelli,avibase-DB55CB8C,23,species,nibkiw1,avibase-DB55CB8C,North Island Brown Kiwi,Apteryx mantelli,Apterygiformes,Apterygidae (Kiwis),Kiwis,,nibkiw1,,0,,Noordelike Bruinkiwi,,,,,Kiwi nortiegu,,,,,Северно кафяво киви,kiwi bru de l'illa del Nord,,,,,smeđi kivi,kivi hnědý,Nordlig Kiwi,Noordelijke bruine kiwi,North Island Brown Kiwi,North Island Brown Kiwi,,,North Island Brown Kiwi,,,North Island Brown Kiwi,,,,,,,,,North Island Brown Kiwi,triipkiivi,,,pohjoissaarenruskokiivi,Kiwi de Mantell,,Kiwi de Mantell,,,,,,,Nordstreifenkiwi,,,,,,,,,ホクトウキーウィ,,,,,,,,,,,,,,,Kiwi-nui | North Island Brown Kiwi,,,nordbrunkivi,,,kiwi północny,,,,,,,,Северный киви,Severni pegavi kivi,kivi hnedý,,Kiwi Norteño,,,,,,,,,,,,,Kiwi norteño,,,brun kivi,,,,Kuzey Adası Boz Kivisi,Ківі північний,,"Kiwi, North Island Brown",EBIRD,2024
Little Spotted Kiwi,Apteryx owenii,Little Spotted Kiwi,Apteryx owenii,avibase-187706CF,24,species,liskiw1,avibase-187706CF,Little Spotted Kiwi,Apteryx owenii,Apterygiformes,Apterygidae (Kiwis),Kiwis,,liskiw1,,0,,Kleingryskiwi,,,,,Kiwi pintu,,,,,Малко петнисто киви,kiwi tacat petit,,,,,mali kivi,kivi malý,Dværgkiwi,Kleine grijze kiwi,Little Spotted Kiwi,Little Spotted Kiwi,,,Little Spotted Kiwi,,,Little Spotted Kiwi,,,,,,,,,Little Spotted Kiwi,väikekiivi,,,pikkukiivi,Kiwi d'Owen,,Kiwi d'Owen,,,,,,,Zwergkiwi,,,,,,Flekkukíví,,,コマダラキーウィ,,,,,,,,,,,,,,,Kiwi Pukupuku | Little Spotted Kiwi,,,dvergkivi,,,kiwi mały,,,,,,,,Малый киви,Mali pegavi kivi,kivi pásikavý,,Kiwi Moteado Menor,,,,,,,,,,,,,Kiwi moteado menor,,,mindre fläckkivi,,,,Benekli Küçük Kivi,Ківі малий,,"Kiwi, Little Spotted",EBIRD,2024
Great Spotted Kiwi,Apteryx maxima,Great Spotted Kiwi,Apteryx maxima,avibase-0D8B9E40,26,species,grskiw1,avibase-0D8B9E40,Great Spotted Kiwi,Apteryx maxima,Apterygiformes,Apterygidae (Kiwis),Kiwis,,grskiw1,,0,,Grootgryskiwi,,,,,Kiwi pintu pequeñu,,,,,Голямо петнисто киви,kiwi tacat gros,,,,,pjegavi kivi,kivi horský,Stor Kiwi,Grote grijze kiwi,Great Spotted Kiwi,Great Spotted Kiwi,,,Great Spotted Kiwi,,,Great Spotted Kiwi,,,,,,,,,Great Spotted Kiwi,täpikkiivi,,,kirjokiivi,Kiwi roa,,Kiwi roa,,,,,,,Haastkiwi,,,,,,Skógarkíví,,,オオマダラキーウィ,,,,,,,,,,,,,,,Roroa | Great Spotted Kiwi,,,flekkivi,,,kiwi plamisty,,,,,,,,Пятнистый киви,Veliki pegavi kivi,kivi kráľovský,,Kiwi Moteado Mayor,,,,,,,,,,,,,Kiwi moteado mayor,,,större fläckkivi,,,,Benekli Büyük Kivi,Ківі сірий,,"Kiwi, Great Spotted",EBIRD,2024
Greater Rhea,Rhea americana,Greater Rhea,Rhea americana,avibase-00986B24,29,species,grerhe1,avibase-00986B24,Greater Rhea,Rhea americana,Rheiformes,Rheidae (Rheas),Rheas,,grerhe1,,0,,Grootnandoe,,,,,Ñandú,,,,,Голямо нанду,nyandú comú,,,,,veliki nandu,nandu pampový,Nandu,Nandoe,Greater Rhea,Greater Rhea,,,Greater Rhea,,,Greater Rhea,,,,,,,,,Greater Rhea,nandu,Ñandu nagusia,,nandu,Nandou d'Amérique,,Nandou d'Amérique,,,,,,,Nandu,Ρέα,,,,,Nandúi,,,レア,,,,,,,,,,,,,,,,,,stornandu,,,nandu szare,,,ema,,Nandú-grande,,,Нанду,Veliki nandu,nandu pampový,Navadni nandu,Ñandú Común,Ñandú,Greater Rhea,,,,,,,,Ñandu,,,Ñandú común,Ñandú,,större nandu,,,,Büyük Rea,Нанду великий,,"Rhea, Greater",EBIRD,2024
