Scientific (AviList),English (AviList)
Struthioniformes,
Struthionidae,
Struthio,
Struthio molybdophanes,Somali Ostrich
Struthio camelus,Common Ostrich
Struthio camelus syriacus,
Struthio camelus camelus,
Struthio camelus massaicus,
Struthio camelus australis,
Casuariiformes,
Casuariidae,
Dromaius,
Dromaius novaehollandiae,Emu
Dromaius novaehollandiae novaehollandiae,
Dromaius novaehollandiae diemenensis,
Dromaius novaehollandiae minor,
Dromaius novaehollandiae baudinianus,
Casuarius,
Casuarius casuarius,Southern Cassowary
Casuarius bennetti,Dwarf Cassowary
Casuarius bennetti westermanni,
Casuarius bennetti bennetti,
Casuarius unappendiculatus,Northern Cassowary
Apterygiformes,
Apterygidae,
Apteryx,
Apteryx owenii,Little Spotted Kiwi
Apteryx maxima,Great Spotted Kiwi
Apteryx australis,Southern Brown Kiwi
Apteryx australis australis,
Apteryx australis lawryi,
Apteryx rowi,Okarito Kiwi
Apteryx mantelli,North Island Brown Kiwi
Rheiformes,
Rheidae,
Rhea,
Rhea pennata,Lesser Rhea
Rhea pennata garleppi,
Rhea pennata tarapacensis,
Rhea pennata pennata,
Rhea americana,Greater Rhea
Rhea americana americana,
Rhea americana intermedia,
Rhea americana nobilis,
Rhea americana araneipes,
Rhea americana albescens,
Tinamiformes,
Tinamidae,
Tinamotis,
Tinamotis pentlandii,Puna Tinamou
Tinamotis ingoufi,Patagonian Tinamou
Eudromia,
Eudromia formosa,Quebracho Crested Tinamou
Eudromia formosa formosa,
Eudromia formosa mira,
Eudromia elegans,Elegant Crested Tinamou
Eudromia elegans intermedia,
Eudromia elegans magnistriata,
Eudromia elegans riojana,
Eudromia elegans albida,
Eudromia elegans wetmorei,
Eudromia elegans numida,
Eudromia elegans elegans,
Eudromia elegans multiguttata,
Eudromia elegans devia,
Eudromia elegans patagonica,
Taoniscus,
Taoniscus nanus,Dwarf Tinamou
Nothura,
Nothura boraquira,White-bellied Nothura
Nothura minor,Lesser Nothura
Nothura darwinii,Darwin's Nothura
Nothura darwinii peruviana,
Nothura darwinii agassizii,
Nothura darwinii boliviana,
Nothura darwinii salvadorii,
Nothura darwinii darwinii,
Nothura maculosa,Spotted Nothura
Nothura maculosa cearensis,
Nothura maculosa major,
Nothura maculosa paludivaga,
Nothura maculosa maculosa,
Nothura maculosa pallida,
Nothura maculosa annectens,
Nothura maculosa submontana,
Nothura maculosa nigroguttata,
Nothura maculosa chacoensis,
Rhynchotus,
Rhynchotus maculicollis,Huayco Tinamou
Rhynchotus rufescens,Red-winged Tinamou
Rhynchotus rufescens catingae,
Rhynchotus rufescens pallescens,
Rhynchotus rufescens rufescens,
Nothoprocta,
Nothoprocta taczanowskii,Taczanowski's Tinamou
Nothoprocta ornata,Ornate Tinamou
Nothoprocta ornata branickii,
Nothoprocta ornata ornata,
Nothoprocta ornata rostrata,
Nothoprocta perdicaria,Chilean Tinamou
Nothoprocta perdicaria perdicaria,
Nothoprocta perdicaria sanborni,
Nothoprocta cinerascens,Brushland Tinamou
Nothoprocta cinerascens cinerascens,
Nothoprocta cinerascens parvimaculata,
Nothoprocta pentlandii,Andean Tinamou
Nothoprocta pentlandii ambigua,
Nothoprocta pentlandii niethammeri,
Nothoprocta pentlandii oustaleti,
Nothoprocta pentlandii fulvescens,
Nothoprocta pentlandii pentlandii,
Nothoprocta pentlandii patriciae,
Nothoprocta pentlandii mendozae,
Nothoprocta pentlandii doeringi,
Nothoprocta curvirostris,Curve-billed Tinamou
Nothoprocta curvirostris curvirostris,
Nothoprocta curvirostris peruviana,
Nothocercus,
Nothocercus julius,Tawny-breasted Tinamou
Nothocercus bonapartei,Highland Tinamou
Nothocercus bonapartei frantzii,
Nothocercus bonapartei bonapartei,
Nothocercus bonapartei intercedens,
Nothocercus bonapartei discrepans,
Nothocercus bonapartei plumbeiceps,
Nothocercus nigrocapillus,Hooded Tinamou
Nothocercus nigrocapillus cadwaladeri,
Nothocercus nigrocapillus nigrocapillus,
Tinamus,
Tinamus tao,Grey Tinamou
Tinamus tao larensis,
Tinamus tao septentrionalis,
Tinamus tao tao,
Tinamus tao kleei,
Tinamus solitarius,Solitary Tinamou
Tinamus osgoodi,Black Tinamou
Tinamus osgoodi hershkovitzi,
Tinamus osgoodi osgoodi,
Tinamus major,Great Tinamou
Tinamus major robustus,
Tinamus major percautus,
Tinamus major fuscipennis,
Tinamus major brunneiventris,
Tinamus major castaneiceps,
Tinamus major saturatus,
Tinamus major zuliensis,
Tinamus major latifrons,
Tinamus major major,
Tinamus major serratus,
Tinamus major olivascens,
Tinamus major peruvianus,
Tinamus guttatus,White-throated Tinamou
Crypturellus,
Crypturellus cinereus,Cinereous Tinamou
Crypturellus berlepschi,Berlepsch's Tinamou
Crypturellus soui,Little Tinamou
Crypturellus soui meserythrus,
Crypturellus soui modestus,
Crypturellus soui capnodes,
Crypturellus soui poliocephalus,
Crypturellus soui panamensis,
Crypturellus soui mustelinus,
Crypturellus soui soui,
Crypturellus soui andrei,
Crypturellus soui caucae,
Crypturellus soui harterti,
Crypturellus soui caquetae,
Crypturellus soui nigriceps,
Crypturellus soui albigularis,
Crypturellus soui inconspicuus,
Crypturellus ptaritepui,Tepui Tinamou
Crypturellus obsoletus,Brown Tinamou
Crypturellus obsoletus cerviniventris,
Crypturellus obsoletus knoxi,
Crypturellus obsoletus castaneus,
Crypturellus obsoletus ochraceiventris,
Crypturellus obsoletus traylori,
Crypturellus obsoletus punensis,
Crypturellus obsoletus griseiventris,
Crypturellus obsoletus hypochraceus,
Crypturellus obsoletus obsoletus,
Crypturellus undulatus,Undulated Tinamou
Crypturellus undulatus manapiare,
Crypturellus undulatus simplex,
Crypturellus undulatus yapura,
Crypturellus undulatus adspersus,
Crypturellus undulatus vermiculatus,
Crypturellus undulatus undulatus,
Crypturellus transfasciatus,Pale-browed Tinamou
Crypturellus strigulosus,Brazilian Tinamou
Crypturellus duidae,Grey-legged Tinamou
Crypturellus erythropus,Red-legged Tinamou
Crypturellus erythropus cursitans,
Crypturellus erythropus idoneus,
Crypturellus erythropus columbianus,
Crypturellus erythropus saltuarius,
Crypturellus erythropus spencei,
Crypturellus erythropus margaritae,
Crypturellus erythropus erythropus,
Crypturellus noctivagus,Yellow-legged Tinamou
Crypturellus noctivagus zabele,
Crypturellus noctivagus noctivagus,
Crypturellus atrocapillus,Black-capped Tinamou
Crypturellus atrocapillus atrocapillus,
Crypturellus atrocapillus garleppi,
Crypturellus boucardi,Slaty-breasted Tinamou
Crypturellus boucardi boucardi,
Crypturellus boucardi costaricensis,
Crypturellus kerriae,Choco Tinamou
Crypturellus variegatus,Variegated Tinamou
Crypturellus cinnamomeus,Thicket Tinamou
Crypturellus cinnamomeus occidentalis,
Crypturellus cinnamomeus mexicanus,
Crypturellus cinnamomeus soconuscensis,
Crypturellus cinnamomeus vicinior,
Crypturellus cinnamomeus sallaei,
Crypturellus cinnamomeus goldmani,
Crypturellus cinnamomeus cinnamomeus,
Crypturellus cinnamomeus delattrii,
Crypturellus cinnamomeus praepes,
Crypturellus brevirostris,Rusty Tinamou
Crypturellus bartletti,Bartlett's Tinamou
Crypturellus parvirostris,Small-billed Tinamou
Crypturellus casiquiare,Barred Tinamou
Crypturellus tataupa,Tataupa Tinamou
Crypturellus tataupa inops,
Crypturellus tataupa lepidotus,
Crypturellus tataupa peruvianus,
Crypturellus tataupa tataupa,
Anseriformes,
Anhimidae,
Anhima,
Anhima cornuta,Horned Screamer
Chauna,
Chauna chavaria,Northern Screamer
Chauna torquata,Southern Screamer
Anseranatidae,
Anseranas,
Anseranas semipalmata,Magpie Goose
Anatidae,
Thalassornis,
Thalassornis leuconotus,White-backed Duck
Thalassornis leuconotus leuconotus,
Thalassornis leuconotus insularis,
Dendrocygna,
Dendrocygna guttata,Spotted Whistling Duck
Dendrocygna eytoni,Plumed Whistling Duck
Dendrocygna viduata,White-faced Whistling Duck
Dendrocygna autumnalis,Black-bellied Whistling Duck
Dendrocygna autumnalis fulgens,
Dendrocygna autumnalis autumnalis,
Dendrocygna arborea,West Indian Whistling Duck
Dendrocygna bicolor,Fulvous Whistling Duck
Dendrocygna arcuata,Wandering Whistling Duck
Dendrocygna arcuata arcuata,
Dendrocygna arcuata pygmaea,
Dendrocygna arcuata australis,
Dendrocygna javanica,Lesser Whistling Duck
Biziura,
Biziura lobata,Musk Duck
Biziura lobata lobata,
Biziura lobata menziesi,
Nettapus,
Nettapus pulchellus,Green Pygmy Goose
Nettapus coromandelianus,Cotton Pygmy Goose
Nettapus coromandelianus coromandelianus,
Nettapus coromandelianus albipennis,
Nettapus auritus,African Pygmy Goose
Stictonetta,
Stictonetta naevosa,Freckled Duck
Heteronetta,
Heteronetta atricapilla,Black-headed Duck
Nomonyx,
Nomonyx dominicus,Masked Duck
Oxyura,
Oxyura leucocephala,White-headed Duck
Oxyura australis,Blue-billed Duck
Oxyura maccoa,Maccoa Duck
Oxyura vittata,Lake Duck
Oxyura jamaicensis,Ruddy Duck
Oxyura jamaicensis jamaicensis,
Oxyura jamaicensis ferruginea,
Oxyura jamaicensis andina,
Plectropterus,
Plectropterus gambensis,Spur-winged Goose
Plectropterus gambensis gambensis,
Plectropterus gambensis niger,
Malacorhynchus,
Malacorhynchus membranaceus,Pink-eared Duck
Coscoroba,
Coscoroba coscoroba,Coscoroba Swan
Cereopsis,
Cereopsis novaehollandiae,Cape Barren Goose
Cereopsis novaehollandiae novaehollandiae,
Cereopsis novaehollandiae grisea,
Cygnus,
Cygnus melancoryphus,Black-necked Swan
Cygnus olor,Mute Swan
Cygnus atratus,Black Swan
Cygnus columbianus,Tundra Swan
Cygnus columbianus columbianus,
Cygnus columbianus bewickii,
Cygnus cygnus,Whooper Swan
Cygnus buccinator,Trumpeter Swan
Branta,
Branta bernicla,Brant Goose
Branta bernicla nigricans,
Branta bernicla bernicla,
Branta bernicla hrota,
Branta ruficollis,Red-breasted Goose
Branta sandvicensis,Nene
Branta canadensis,Canada Goose
Branta canadensis occidentalis,
Branta canadensis fulva,
Branta canadensis maxima,
Branta canadensis parvipes,
Branta canadensis moffitti,
Branta canadensis interior,
Branta canadensis canadensis,
Branta leucopsis,Barnacle Goose
Branta hutchinsii,Cackling Goose
Branta hutchinsii leucopareia,
Branta hutchinsii minima,
Branta hutchinsii taverneri,
Branta hutchinsii hutchinsii,
Anser,
Anser indicus,Bar-headed Goose
Anser canagicus,Emperor Goose
Anser rossii,Ross's Goose
Anser caerulescens,Snow Goose
Anser caerulescens caerulescens,
Anser caerulescens atlanticus,
Anser anser,Greylag Goose
Anser anser anser,
Anser anser rubrirostris,
Anser cygnoides,Swan Goose
Anser erythropus,Lesser White-fronted Goose
Anser albifrons,Greater White-fronted Goose
Anser albifrons flavirostris,
Anser albifrons albifrons,
Anser albifrons elgasi,
Anser albifrons gambelli,
Anser albifrons sponsa,
Anser serrirostris,Tundra Bean Goose
Anser serrirostris rossicus,
Anser serrirostris serrirostris,
Anser brachyrhynchus,Pink-footed Goose
Anser fabalis,Taiga Bean Goose
Anser fabalis fabalis,
Anser fabalis johanseni,
Anser fabalis middendorffii,
Merganetta,
Merganetta armata,Torrent Duck
Merganetta armata colombiana,
Merganetta armata leucogenis,
Merganetta armata turneri,
Merganetta armata garleppi,
Merganetta armata berlepschi,
Merganetta armata armata,
Callonetta,
Callonetta leucophrys,Ringed Teal
Cairina,
Cairina moschata,Muscovy Duck
Aix,
Aix galericulata,Mandarin Duck
Aix sponsa,Wood Duck
Neochen,
Neochen jubata,Orinoco Goose
Chloephaga,
Chloephaga melanoptera,Andean Goose
Chloephaga picta,Upland Goose
Chloephaga picta picta,
Chloephaga picta leucoptera,
Chloephaga hybrida,Kelp Goose
Chloephaga hybrida hybrida,
Chloephaga hybrida malvinarum,
Chloephaga poliocephala,Ashy-headed Goose
Chloephaga rubidiceps,Ruddy-headed Goose
Radjah,
Radjah radjah,Radjah Shelduck
Radjah radjah radjah,
Radjah radjah rufitergum,
Alopochen,
Alopochen aegyptiaca,Egyptian Goose
Alopochen mauritiana,Mauritius Sheldgoose
Alopochen kervazoi,Reunion Sheldgoose
Tadorna,
Tadorna tadorna,Common Shelduck
Tadorna cristata,Crested Shelduck
Tadorna cana,South African Shelduck
Tadorna ferruginea,Ruddy Shelduck
Tadorna variegata,Paradise Shelduck
Tadorna tadornoides,Australian Shelduck
Clangula,
Clangula hyemalis,Long-tailed Duck
Polysticta,
Polysticta stelleri,Steller's Eider
Camptorhynchus,
Camptorhynchus labradorius,Labrador Duck
Somateria,
Somateria fischeri,Spectacled Eider
